CustomerID,Age,Annual_Income,Spending_Score,Online_Time(hrs/week),Purchases_per_Month
10001,56,23343,17,21,2
10002,69,33500,13,11,33
10003,46,73222,84,40,33
10004,32,49375,25,11,13
10005,60,29662,68,36,30
10006,25,36964,10,49,33
10007,38,79638,67,39,13
10008,56,93666,18,40,26
10009,36,105067,86,35,22
10010,40,87215,34,34,39
10011,28,89042,8,47,2
10012,28,33284,40,24,38
10013,41,92789,83,22,39
10014,53,104664,42,5,26
10015,57,113468,41,33,15
10016,41,81389,6,36,34
10017,20,29435,52,47,11
10018,39,74340,26,20,3
10019,19,64078,64,19,6
10020,41,98832,98,35,9
10021,61,71293,59,43,6
10022,47,115981,56,17,9
10023,55,98781,59,45,39
10024,19,80403,70,43,31
10025,38,49124,33,34,32
10026,50,115435,53,9,12
10027,29,63919,22,26,8
10028,39,55247,21,2,8
10029,61,114758,70,9,28
10030,42,111747,70,9,20
10031,66,82752,4,40,7
10032,44,76573,94,17,11
10033,59,79101,75,1,20
10034,45,46646,62,25,16
10035,33,43049,62,43,4
10036,32,99605,94,40,6
10037,64,118116,95,42,22
10038,68,117379,24,25,26
10039,61,88385,55,39,3
10040,69,60158,9,35,14
10041,20,85417,3,3,11
10042,54,43289,31,37,18
10043,68,29823,40,44,12
10044,24,80160,36,44,23
10045,38,61975,24,30,12
10046,26,29540,95,38,13
10047,56,36364,6,34,25
10048,35,24611,66,12,19
10049,21,47663,84,19,36
10050,42,71991,92,37,8
10051,31,77679,75,44,29
10052,67,50977,4,49,32
10053,26,114704,79,17,18
10054,43,69115,6,10,6
10055,19,111007,94,49,18
10056,37,108223,51,47,19
10057,45,80890,62,12,22
10058,64,86387,57,16,37
10059,24,38071,66,24,32
10060,61,79275,79,19,3
10061,25,92369,75,8,28
10062,64,31938,8,31,10
10063,52,55195,26,21,35
10064,31,111680,51,17,29
10065,34,24000,45,23,15
10066,53,90588,44,37,33
10067,67,113610,5,16,7
10068,57,117856,70,6,12
10069,21,58304,26,8,30
10070,19,89449,68,25,21
10071,23,102986,19,18,31
10072,59,109643,84,25,24
10073,21,40764,97,12,20
10074,46,106027,20,15,37
10075,35,58494,12,26,4
10076,43,23373,47,41,28
10077,61,32161,1,45,20
10078,51,117532,90,26,24
10079,27,112658,14,47,32
