age,gender,department,education,experience_years,salary,marital_status,overtime,work_life_balance,attrition
23,male,Tech,Master,24,72618,married,yes,good,0
49,male,Tech,Master,1,133260,single,yes,poor,0
55,female,Sales,Master,33,145733,married,no,good,0
59,male,Tech,High School,27,59910,married,no,good,0
38,female,Tech,Bachelor,23,20311,married,yes,good,0
40,male,Tech,Master,32,84095,married,no,average,1
43,female,Finance,High School,2,31650,married,no,average,0
54,male,Tech,Bachelor,29,139443,married,no,poor,0
53,female,Sales,Master,6,130339,married,no,good,0
30,female,Finance,High School,1,95597,married,no,excellent,0
53,male,Operations,Bachelor,34,94105,married,yes,good,0
53,female,Sales,High School,31,55305,married,no,poor,0
46,female,HR,Master,22,57083,married,yes,good,0
40,male,Operations,High School,23,103398,single,no,good,0
35,female,Sales,High School,23,36032,married,no,poor,1
57,male,Sales,High School,17,38873,single,no,good,1
53,female,Tech,Bachelor,5,46043,married,no,poor,0
37,male,Sales,Master,33,131061,married,yes,poor,0
25,female,Finance,High School,8,76748,married,no,good,0
24,female,HR,PhD,27,135843,single,no,good,0
23,female,Sales,PhD,8,117136,married,no,average,0
41,male,HR,High School,11,30971,single,no,poor,1
23,male,Tech,Master,8,90444,single,yes,average,0
41,male,Operations,PhD,23,37370,married,no,average,1
28,male,Tech,PhD,34,26928,married,yes,average,1
56,male,Finance,Bachelor,18,143719,married,no,good,0
49,male,Tech,Bachelor,30,122118,single,no,good,1
59,male,Operations,High School,18,65425,single,yes,excellent,0
54,male,Sales,Bachelor,3,111126,married,no,average,0
42,male,Tech,High School,8,143130,married,no,average,0
51,male,Tech,High School,18,89793,single,no,average,0
48,male,Tech,Bachelor,32,23863,married,no,average,0
55,female,Finance,Bachelor,17,147638,married,no,good,0
54,male,HR,Bachelor,25,71612,married,yes,average,0
33,female,Tech,Bachelor,32,70644,married,yes,good,0
24,male,Sales,High School,13,79838,married,no,average,0
26,male,Finance,Bachelor,33,114800,married,no,good,0
21,male,Finance,Bachelor,22,131930,single,no,good,0
32,female,HR,Bachelor,31,46806,married,yes,good,0
55,female,Operations,Bachelor,6,96608,married,yes,excellent,0
31,female,Tech,Bachelor,11,51041,single,yes,average,1
