age,gender,married,job_type,education,credit_score,loan_amount,dependents,property_area,loan_approved
29,male,no,salaried,graduate,798,194334,4,urban,1
45,female,yes,unemployed,graduate,340,508093,1,urban,0
24,male,yes,salaried,postgraduate,807,188898,0,urban,1
60,female,no,unemployed,postgraduate,327,52586,2,rural,0
44,female,yes,self-employed,undergraduate,581,971575,3,urban,0
36,female,no,salaried,undergraduate,636,216798,4,semi-urban,0
31,male,no,salaried,postgraduate,400,376407,0,semi-urban,1
51,female,no,unemployed,undergraduate,862,374675,2,semi-urban,0
55,female,yes,self-employed,postgraduate,607,156675,2,semi-urban,1
23,male,yes,self-employed,graduate,537,196931,4,urban,0
55,male,no,self-employed,graduate,321,563107,0,semi-urban,0
35,male,yes,salaried,graduate,341,893334,1,rural,0
55,male,yes,salaried,graduate,610,230378,1,urban,0
45,female,yes,salaried,graduate,465,941027,2,urban,0
36,female,no,salaried,undergraduate,375,606664,0,urban,0
57,male,yes,self-employed,postgraduate,882,687361,4,semi-urban,0
64,female,yes,salaried,undergraduate,502,58332,0,rural,0
37,female,yes,salaried,undergraduate,816,488215,4,rural,0
30,male,yes,salaried,graduate,341,562301,4,semi-urban,0
50,female,yes,salaried,graduate,702,733919,4,semi-urban,0
43,male,yes,salaried,graduate,579,903006,4,semi-urban,0
23,male,yes,salaried,postgraduate,887,793076,2,urban,1
48,male,yes,self-employed,undergraduate,488,567561,1,semi-urban,1
25,male,yes,unemployed,graduate,631,69786,1,semi-urban,0
52,male,yes,salaried,graduate,717,877538,2,urban,0
22,female,no,salaried,graduate,750,444875,0,semi-urban,0
34,male,yes,salaried,undergraduate,790,168859,2,urban,1
40,male,yes,salaried,undergraduate,427,938619,3,semi-urban,0
57,male,yes,self-employed,graduate,494,215543,1,rural,0
25,female,yes,unemployed,graduate,877,369686,2,urban,1
48,male,yes,salaried,undergraduate,725,803112,4,urban,0
24,male,yes,self-employed,graduate,425,927957,0,semi-urban,1
28,female,no,salaried,graduate,785,112139,0,rural,1
22,female,yes,salaried,graduate,442,698821,0,urban,0
35,female,yes,unemployed,graduate,837,54930,0,urban,1
28,male,yes,self-employed,graduate,561,87151,2,rural,0
37,male,yes,salaried,graduate,475,333464,4,rural,0
23,male,yes,salaried,postgraduate,675,283851,4,semi-urban,1
62,male,yes,unemployed,postgraduate,756,286401,3,semi-urban,1
51,male,yes,salaried,undergraduate,546,214092,1,urban,0
40,female,yes,salaried,undergraduate,652,132038,3,semi-urban,1
55,female,no,salaried,undergraduate,766,678593,0,urban,1
48,female,yes,salaried,postgraduate,822,960178,4,urban,1
51,male,yes,salaried,graduate,695,516167,1,semi-urban,0
60,male,no,salaried,graduate,568,331948,4,rural,0
59,male,yes,salaried,undergraduate,462,65444,2,urban,1
39,male,yes,self-employed,postgraduate,763,56437,3,urban,1
21,male,yes,salaried,postgraduate,496,953446,3,semi-urban,0
55,male,yes,salaried,graduate,898,381073,3,rural,1
31,male,yes,salaried,graduate,458,649348,1,urban,0
38,female,yes,salaried,undergraduate,838,535522,0,rural,0
29,male,yes,unemployed,undergraduate,411,321306,2,urban,0
34,female,yes,self-employed,undergraduate,558,170213,3,urban,0
63,male,yes,unemployed,postgraduate,455,580659,4,semi-urban,0
51,female,yes,unemployed,undergraduate,867,317288,3,urban,0
38,male,yes,salaried,graduate,584,706707,4,semi-urban,0
25,female,yes,salaried,graduate,619,67278,4,urban,0
61,female,no,salaried,graduate,363,489935,4,urban,0
48,male,yes,self-employed,postgraduate,536,955383,2,rural,0
48,male,no,salaried,graduate,540,495157,3,semi-urban,0
40,female,yes,salaried,graduate,729,177087,1,rural,0
35,male,no,salaried,postgraduate,592,851963,1,urban,1
21,male,yes,salaried,postgraduate,839,342328,4,semi-urban,1
