age,income,student,credit_rating,owns_house,num_purchases,will_buy
56,low,no,excellent,yes,3,0
46,low,no,fair,yes,1,0
32,medium,yes,fair,no,3,0
60,medium,yes,fair,yes,4,1
25,medium,no,fair,yes,2,0
38,medium,no,fair,yes,3,0
56,medium,yes,fair,no,2,0
36,medium,no,fair,no,4,1
40,low,no,fair,no,1,0
28,low,no,fair,no,3,0
28,medium,no,excellent,yes,5,0
41,high,no,fair,yes,2,0
53,medium,no,excellent,no,4,0
57,medium,no,excellent,yes,2,0
41,low,yes,excellent,yes,1,1
20,medium,yes,fair,yes,3,0
39,medium,no,excellent,yes,4,0
19,low,no,fair,no,7,0
41,low,no,fair,yes,4,0
47,medium,no,fair,yes,6,0
55,low,no,excellent,yes,4,0
19,medium,yes,fair,no,1,0
38,low,no,fair,yes,1,0
50,medium,no,excellent,yes,7,0
29,low,no,excellent,no,4,0
39,high,yes,fair,no,3,0
42,medium,no,fair,yes,3,0
44,medium,no,excellent,yes,3,0
59,medium,no,fair,yes,3,0
45,medium,no,fair,yes,1,0
33,low,no,fair,yes,1,0
32,medium,no,excellent,yes,3,1
20,medium,no,excellent,yes,0,0
54,medium,no,excellent,yes,3,0
24,medium,yes,excellent,no,3,1
38,low,no,fair,no,0,0
26,low,no,fair,no,2,0
56,medium,no,fair,yes,1,0
35,medium,no,fair,yes,2,0
21,medium,no,fair,no,4,1
42,medium,no,excellent,yes,4,1
31,high,no,excellent,yes,1,1
26,medium,yes,excellent,no,3,1
43,low,no,fair,no,3,0
19,low,no,excellent,no,2,0
37,low,yes,excellent,yes,2,0
45,low,no,fair,yes,3,0
24,low,no,excellent,no,2,0
25,low,no,fair,yes,3,0
52,low,no,fair,no,2,0
31,low,no,fair,no,1,0
34,high,no,fair,no,0,0
53,low,no,fair,yes,3,0
57,medium,no,excellent,yes,4,0
21,medium,no,excellent,no,4,1
19,high,no,excellent,no,3,1
23,low,no,excellent,no,3,0
59,medium,no,fair,yes,6,0
21,high,no,excellent,yes,4,1
46,high,no,fair,no,4,0
35,high,no,fair,no,5,0
43,low,yes,fair,no,1,1
51,low,no,fair,yes,4,0
27,medium,yes,fair,no,2,1
53,high,no,fair,no,4,0
31,medium,no,fair,no,5,0
48,medium,no,excellent,yes,2,0
32,low,no,fair,yes,4,0
25,medium,no,fair,no,1,1
31,low,no,fair,yes,2,0
40,medium,no,excellent,yes,4,0
57,medium,no,fair,no,1,0
38,medium,no,fair,yes,1,0
33,low,yes,fair,no,0,0
35,low,no,fair,yes,3,0
41,medium,no,fair,no,3,0
43,low,no,fair,no,4,0
42,medium,no,fair,yes,2,0
58,low,no,fair,yes,3,0
46,medium,no,fair,yes,6,0
32,medium,no,excellent,yes,2,1
18,low,no,fair,no,2,0
42,medium,yes,fair,no,2,0
24,low,no,fair,yes,4,0
26,low,no,excellent,yes,1,0
41,high,no,fair,yes,4,0
18,medium,no,fair,no,3,1
25,high,no,excellent,yes,3,0
41,low,no,fair,no,5,0
28,medium,no,fair,no,3,1
34,medium,no,fair,no,1,0
25,medium,no,excellent,yes,1,0
52,medium,no,fair,no,3,0
52,medium,yes,excellent,yes,5,0
50,medium,yes,excellent,yes,4,0
22,high,yes,fair,no,2,1
59,high,no,fair,no,7,0
56,high,no,fair,yes,0,0
58,low,no,fair,yes,4,0
45,medium,no,fair,yes,2,1
24,high,yes,excellent,yes,3,1
26,low,no,excellent,yes,1,0
25,low,no,excellent,yes,3,0
29,medium,yes,fair,yes,1,1
51,medium,no,excellent,no,3,1
50,high,no,excellent,no,6,1
40,low,no,excellent,no,3,0
41,medium,no,fair,yes,2,0
54,low,no,excellent,no,1,0
52,low,no,fair,no,4,0
57,low,no,fair,no,4,0
39,high,no,fair,no,3,1
44,medium,no,excellent,no,1,0
52,medium,no,excellent,yes,4,0
18,medium,no,fair,yes,2,1
52,high,yes,fair,no,4,0
54,medium,yes,fair,no,1,0
31,high,no,fair,no,5,0
20,medium,yes,fair,yes,3,0
18,medium,no,fair,yes,1,1
22,medium,no,excellent,yes,2,1
43,medium,yes,fair,no,1,0
31,medium,no,fair,no,5,0
56,medium,no,fair,yes,1,0
44,low,no,excellent,yes,3,0
26,high,no,excellent,yes,2,1
32,medium,no,excellent,no,3,0
32,medium,no,fair,no,2,0
43,high,yes,fair,no,5,0
59,medium,no,fair,yes,4,0
30,low,no,excellent,no,5,0
49,high,no,excellent,yes,2,0
56,medium,no,excellent,no,3,0
49,medium,no,excellent,yes,2,0
21,low,no,excellent,yes,1,0
47,medium,no,fair,no,3,0
54,medium,no,excellent,no,1,0
40,medium,no,fair,yes,7,1
56,high,no,fair,no,6,0
32,medium,no,fair,yes,3,0
60,low,no,fair,yes,4,1
46,medium,no,fair,yes,1,0
53,low,no,fair,yes,1,0
30,medium,no,fair,yes,2,0
49,low,no,fair,yes,3,0
24,medium,no,fair,yes,3,0
39,medium,no,fair,no,1,0
45,high,yes,fair,yes,4,0
19,medium,no,fair,no,1,1
59,high,no,excellent,yes,3,1
23,low,no,excellent,no,3,0
45,high,yes,excellent,yes,1,1
45,low,no,excellent,yes,2,0
37,medium,no,fair,yes,4,0
47,medium,no,excellent,yes,2,0
28,low,yes,fair,yes,0,0
45,low,yes,fair,no,4,0
42,medium,no,excellent,no,0,0
56,medium,no,fair,no,2,0
50,medium,no,excellent,no,5,0
18,medium,no,excellent,yes,1,0
