Age,Salary,SpendingScore,Purchased
56,62318,62,1
46,90173,17,0
32,90390,88,1
60,72329,3,0
25,63088,32,0
38,59811,99,1
56,75479,13,0
36,105392,89,1
40,107369,73,1
28,39963,68,1
28,75123,14,0
41,112705,98,1
53,93477,11,0
57,34388,56,1
41,25569,67,0
20,89836,92,1
39,56586,29,0
19,32015,9,1
41,65002,67,1
61,26254,25,0
47,37144,98,1
55,44214,76,1
19,100719,42,0
38,91774,9,0
50,26090,79,1
29,31637,40,0
39,42415,25,0
61,44071,5,0
42,78243,11,0
44,61240,59,1
59,103807,98,1
45,53434,88,1
33,89724,79,1
32,95697,38,0
64,48732,72,1
61,31314,5,0
20,43954,48,1
54,77108,90,1
24,107044,18,0
38,107505,70,1
26,56668,37,0
56,43061,60,1
35,99252,48,0
21,59749,77,1
42,36907,28,1
31,38777,69,1
26,113229,77,1
43,71745,81,0
19,111865,40,0
37,101818,45,0
45,43624,96,1
64,43321,62,1
24,30488,93,0
61,42574,58,1
25,25240,67,1
64,63221,56,1
52,30478,40,0
31,75645,98,1
34,39262,40,0
53,72796,91,1
57,24432,77,1
21,115257,33,0
19,84291,6,0
23,99104,88,1
59,79399,19,0
21,99714,80,1
46,70428,40,0
35,107731,92,1
43,20302,97,1
61,102558,59,1
51,20055,59,1
27,28717,48,0
53,48699,41,0
31,93686,13,0
48,87661,45,0
32,64247,89,1
25,36748,53,1
31,24621,42,0
40,35034,63,1
57,25126,27,0
38,25122,38,0
33,38030,60,1
62,102838,7,0
35,104717,5,0
64,75658,45,0
41,58638,58,1
43,87067,31,0
42,108869,23,0
62,54674,42,0
58,55854,10,0
46,66271,32,0
32,93688,53,1
62,58518,30,1
18,30267,39,1
42,110825,31,0
24,21062,82,1
26,70448,2,0
41,115462,78,1
18,26229,77,1
61,76793,93,1
25,67915,12,0
41,24632,39,0
28,23596,66,0
34,26168,96,1
25,27561,13,0
52,93794,46,0
52,102152,27,0
50,46734,17,0
22,26371,95,1
59,46069,98,1
56,99905,60,1
58,32910,64,1
45,93479,88,1
24,97735,35,0
26,101264,70,1
25,43275,83,1
29,92274,30,0
51,101449,71,1
50,80004,74,1
40,82981,96,1
41,104659,98,1
54,74553,63,1
52,68447,28,0
61,54529,60,1
57,95703,79,1
39,96090,94,1
44,37260,37,0
52,23812,93,1
18,48024,22,0
52,78656,68,1
54,47285,20,0
64,112436,96,1
31,21605,68,0
20,91158,91,1
18,92303,64,1
22,47139,17,0
43,97149,12,0
31,76138,22,0
56,96125,17,0
44,33918,10,0
26,105655,65,0
32,47446,22,0
32,33046,90,1
43,44818,82,1
59,24324,50,0
30,96323,14,0
49,29111,64,1
56,58110,47,0
49,36389,29,0
21,61427,76,1
47,99579,36,1
54,48746,99,1
40,107886,52,1
56,20117,76,1
62,104471,7,0
32,33234,29,0
60,73441,11,0
46,20846,33,0
53,30954,6,0
30,99239,79,1
49,66514,32,0
24,108236,51,1
39,117579,75,1
45,26469,58,1
19,50105,87,1
59,62101,26,1
62,84323,98,1
23,111922,46,0
45,78067,98,1
45,69376,29,0
61,65587,4,0
61,56976,81,1
37,87584,99,1
47,98477,13,0
28,62533,39,1
45,21828,15,0
42,21917,29,0
56,40618,29,0
50,52254,75,1
18,67362,32,0
44,40128,2,1
30,79383,47,0
58,85545,78,1
20,102180,84,1
56,107958,22,0
23,29865,75,1
25,22219,27,0
44,59809,67,1
26,25287,81,1
54,54387,56,1
50,28512,92,1
59,21342,93,1
61,83076,21,0
41,39216,47,0
32,113070,80,1
49,99767,59,1
49,117829,84,1
41,46614,6,0
58,56258,19,0
29,113789,57,1
56,62078,69,1
19,103524,3,0
20,116573,1,0
54,32219,58,0
34,20235,38,0
19,62929,15,0
19,87444,34,0
45,28567,61,1
40,90792,35,0
54,85441,64,0
49,104555,25,0
50,93698,24,0
18,25415,12,0
36,56159,18,0
19,63925,15,0
61,25951,80,1
43,107388,27,0
49,28007,72,1
23,61832,60,1
49,78596,46,0
21,50523,89,1
28,108861,17,0
34,106740,93,1
55,35524,53,1
41,39282,8,1
22,43930,79,1
51,20077,27,0
23,40611,46,0
39,36984,50,0
28,34060,71,1
33,102985,3,0
50,104056,93,1
26,63303,64,1
23,79207,44,0
33,95046,53,1
46,49287,24,0
20,113709,60,1
37,59711,3,0
53,31954,20,0
36,93340,46,0
43,92101,15,0
20,91520,25,0
36,107062,94,1
37,38574,78,1
49,29184,71,1
24,39096,17,0
58,87728,84,1
50,54016,9,0
57,31246,38,0
56,65558,48,0
35,38381,60,1
57,56455,63,1
18,112263,86,1
28,24018,2,0
45,31302,88,1
42,87506,72,1
40,61157,11,0
48,74917,64,1
47,112738,77,1
59,116646,81,1
52,103122,72,1
24,44519,21,0
33,116809,18,0
43,107487,94,1
19,76819,64,1
18,100910,82,1
29,91324,95,1
22,25408,38,0
54,79379,32,0
49,45053,11,0
26,29446,45,1
58,20922,89,1
52,118723,33,0
36,71356,41,0
33,30789,8,0
20,117720,11,0
37,86656,86,1
41,64028,51,1
50,84484,88,1
41,52154,41,0
28,102870,17,0
25,22336,76,1
53,87779,46,0
55,39029,32,0
57,79201,79,1
37,52265,80,1
52,63872,54,1
42,66197,86,1
52,75180,92,1
42,43710,20,0
46,49486,33,0
35,91907,74,1
63,91895,40,0
35,84435,32,1
19,60631,97,1
52,40103,2,1
33,84772,97,1
58,34382,33,0
53,104291,77,0
50,23756,30,0
21,40609,33,0
50,36478,77,1
31,59666,26,0
38,95683,22,0
37,119097,66,1
25,91315,38,0
24,97834,90,1
20,34153,46,0
34,96325,15,0
50,32999,98,1
29,75318,44,0
39,20814,49,0
39,96077,75,1
63,110474,61,1
47,22443,67,0
55,95993,6,0
55,95916,9,0
62,93319,6,1
25,37368,73,1
44,35328,95,1
44,76942,32,0
51,111751,41,0
38,119131,76,1
47,47306,8,0
50,105451,72,1
45,59915,50,0
64,57219,92,1
50,100879,62,1
22,84644,84,1
36,80279,62,1
21,73028,7,0
52,20126,75,1
34,72329,84,1
61,47632,80,1
45,85310,4,0
47,75176,6,0
46,106066,58,1
63,64327,22,0
23,88904,26,0
52,23797,3,0
58,67882,41,0
54,33718,60,1
41,54560,14,0
46,96589,75,0
63,42116,82,1
48,56244,12,0
52,21645,87,1
50,67523,12,0
38,39256,13,0
49,73173,25,0
40,57430,45,0
50,59282,19,0
20,83374,55,1
35,88244,45,0
42,31694,8,0
59,76264,93,1
48,95060,53,1
20,117416,55,0
57,77545,32,0
63,59224,51,1
41,117945,44,0
49,33224,82,1
64,60738,70,1
39,45150,18,0
40,83731,83,1
19,69688,22,0
44,119929,37,0
59,93509,96,1
19,28577,56,1
43,28070,59,1
34,28666,3,0
57,77761,28,1
50,56368,74,1
26,26783,35,0
60,61914,61,1
56,90507,93,1
46,99026,54,1
59,87526,63,1
43,90835,79,1
52,65765,97,1
42,39956,7,0
41,107895,76,1
30,66240,49,0
24,57148,94,1
53,114270,85,1
62,24757,31,0
37,39097,58,1
18,30395,61,1
25,36241,24,0
63,47696,20,0
33,90480,37,0
31,66163,4,0
29,39816,92,1
40,69840,20,0
32,72853,60,1
45,44917,24,0
51,116731,50,0
19,41566,49,0
49,95452,51,1
40,82823,96,1
39,40806,36,1
42,95520,98,1
39,21759,66,1
39,61949,79,1
59,112374,34,0
23,22482,36,0
32,44442,6,0
60,53719,39,0
54,78066,42,0
50,113501,58,0
25,22079,12,0
61,22717,3,0
61,79676,18,0
22,47952,40,0
56,106444,21,0
21,62460,15,0
23,110397,97,1
62,92847,99,1
49,113607,26,0
47,109106,8,0
64,38449,94,1
52,53536,87,1
57,84077,42,0
33,58258,44,1
30,68302,14,0
59,48865,78,1
47,26645,2,1
36,58000,37,0
34,46737,69,1
36,31485,38,0
45,58565,41,0
43,45522,62,0
54,85155,60,1
43,75168,14,0
40,72487,89,1
26,32342,84,1
29,60806,2,0
18,68770,70,1
18,98623,17,0
64,119785,89,1
51,95629,28,0
49,72603,66,1
42,101974,35,0
57,46399,5,0
62,105382,65,1
18,101244,40,0
33,96534,76,1
56,75106,56,1
22,50678,36,0
39,96218,45,0
46,83230,23,0
20,94055,47,0
29,76373,31,0
43,51480,11,0
33,105230,10,0
54,88836,67,1
39,92258,14,0
46,59986,80,1
31,44160,74,1
45,105595,93,1
22,99111,10,0
64,84929,76,1
47,93506,94,1
63,54911,1,0
22,107127,5,0
29,51821,20,0
33,95039,8,0
43,80535,43,0
43,104458,76,0
38,32175,1,0
56,74771,57,1
53,106925,64,0
50,86358,84,1
47,37327,28,0
54,67057,37,0
40,26150,47,0
27,24425,76,1
22,36032,37,1
53,22198,49,0
51,80500,44,0
48,73394,56,1
27,40079,28,0
36,56220,79,1
49,61874,6,1
18,33859,61,1
22,70460,20,0
62,51419,78,1
21,28705,2,0
33,62880,73,1
41,43236,37,0
33,107955,20,0
19,105514,26,0
45,35358,29,0
49,119713,1,0
44,114914,35,0
37,96918,70,1
41,34596,59,1
29,53572,69,1
52,98757,33,0
50,21279,51,1
50,83197,78,1
60,82516,12,0
54,27083,20,0
29,37771,53,1
20,49975,88,1
18,65648,43,0
50,68285,98,1
57,39063,89,1
27,87642,50,0
60,110093,29,0
61,106143,57,1
46,57599,39,0
30,71920,95,1
29,48529,56,1
48,55954,43,0
63,47856,50,0
19,22573,23,0
52,98344,44,0
40,55367,38,0
34,119608,84,1
43,80774,23,0
25,43752,45,0
46,75029,52,1
43,37685,80,1
27,71693,50,0
43,75961,8,0
51,96908,85,1
58,94532,1,0
24,101994,8,0
21,76133,29,0
62,117425,96,1
28,81268,5,0
46,112201,86,1
53,58243,47,0
42,77384,34,0
38,51653,65,1
53,46657,55,1
27,59952,90,1
54,42180,43,0
26,117432,74,1
41,98411,30,0
52,21622,82,0
52,68756,17,0
53,60809,26,0
35,36725,8,0
56,81396,47,0
49,71226,76,1
41,101182,91,0
40,102565,72,1
49,49402,89,1
54,24263,46,0
29,116523,68,1
30,66828,33,1
40,67924,1,0
42,94182,19,0
52,113065,31,0
58,79052,80,1
47,31664,14,0
34,55737,53,1
37,109563,48,0
42,49373,69,1
39,56397,90,1
30,106145,62,1
36,58709,92,1
53,81120,66,0
29,39250,64,1
58,41172,70,1
36,31555,63,1
29,107410,73,1
26,98617,33,0
24,73276,41,0
45,77492,89,1
31,73002,48,0
48,109599,13,0
36,92355,73,1
64,111248,77,1
33,44762,31,0
22,31046,75,1
52,116999,68,1
29,48769,98,1
42,73302,4,0
38,43150,19,0
53,88247,70,1
40,24853,98,1
33,114613,82,1
56,109399,13,0
62,41792,23,0
59,79129,83,1
56,94478,75,1
31,87298,1,0
48,51987,88,1
22,35850,54,1
52,32112,71,1
40,44058,89,1
46,65420,85,1
60,58890,15,1
28,86017,65,1
35,67304,76,1
64,52921,71,1
29,21524,15,0
26,35048,21,0
27,55111,19,0
61,57904,60,1
34,74912,93,1
55,54008,89,1
24,20060,33,0
63,94666,49,1
30,103559,96,1
57,75337,35,0
59,33350,44,0
26,44354,90,1
44,65186,11,0
19,48145,99,1
22,54020,72,1
46,106123,78,1
54,95186,74,1
55,105469,66,1
36,40581,46,0
25,108929,9,0
62,43051,3,0
18,71474,85,1
39,111748,26,0
34,89626,72,1
24,26960,48,0
42,55772,66,1
62,41520,70,1
21,69481,28,0
53,56408,93,1
23,114006,26,0
48,77134,25,0
36,40491,12,1
61,21341,5,0
56,64623,98,1
44,110327,48,1
27,20338,37,0
43,91431,79,1
36,32254,44,0
56,71860,15,0
20,31344,43,0
62,21750,48,0
30,74756,87,1
45,87957,70,1
37,78053,46,0
45,90855,43,1
25,35896,21,0
58,75761,23,0
56,82552,80,1
18,97454,47,0
20,110600,15,0
30,47935,25,0
45,57641,36,0
42,49711,75,1
50,90342,51,1
55,32182,15,0
23,107833,68,1
61,76276,21,1
62,39541,13,0
49,114457,86,1
62,102310,19,0
64,64813,34,0
38,57198,78,1
33,28820,68,1
38,44070,52,1
28,89768,27,0
54,31122,29,0
53,100559,28,0
52,93543,35,0
36,103441,8,0
37,61786,16,0
35,114934,36,0
64,119804,30,0
58,26737,18,0
31,56062,2,0
32,74237,49,0
48,71571,77,1
18,45510,4,0
20,39426,90,1
33,57265,89,1
40,37850,94,1
28,86150,75,0
29,107312,7,0
27,109613,95,1
49,94910,74,1
33,72375,39,0
25,55435,13,0
55,116443,31,1
29,77132,71,1
41,98945,63,1
45,102050,56,1
25,115402,42,0
45,22983,61,1
53,117241,42,0
43,40662,56,1
25,43510,36,0
45,98187,84,1
45,60998,68,1
54,76846,7,0
58,114071,54,1
53,26640,1,0
44,64547,44,0
34,74620,45,0
26,35317,47,0
50,27564,13,0
37,47345,22,0
30,114223,21,0
45,99273,86,1
46,94859,92,1
30,100765,9,0
63,94038,26,0
52,72393,9,0
23,86081,15,0
35,49430,10,0
22,95532,88,1
64,47788,42,1
42,115505,72,1
19,68543,24,0
27,33919,80,1
47,89346,49,0
62,116122,26,0
22,59974,91,1
50,36371,37,1
18,65084,68,1
35,49629,50,0
49,71184,24,0
64,81916,19,0
28,93972,60,1
38,82187,39,0
43,32984,74,1
42,53039,89,1
39,105431,18,0
44,103691,19,0
30,78606,36,0
50,30616,74,1
51,70072,97,1
58,44574,55,1
52,23430,69,1
18,32676,47,0
38,30816,49,0
23,52733,99,1
45,105680,98,1
34,22050,33,0
22,53933,21,0
48,44951,81,1
22,52413,22,1
55,54801,48,0
20,75619,37,0
40,52913,15,0
54,60600,35,0
54,77775,92,1
27,110816,71,1
27,110093,32,0
36,55400,11,0
34,24494,10,0
38,100688,73,1
31,109431,78,1
26,94691,77,1
63,117419,57,1
18,63001,25,0
62,87364,2,0
30,65028,64,1
21,117659,35,0
18,57573,7,1
57,20806,85,1
49,76638,18,0
51,49757,67,1
45,54636,42,0
48,100097,39,0
25,68280,41,0
56,44262,75,1
43,100435,24,0
51,82211,60,1
20,74842,46,0
29,76979,19,0
18,101470,68,1
61,58197,90,1
22,61844,42,0
47,84754,32,0
47,54157,39,0
34,97129,36,1
64,60042,97,1
40,81665,36,0
32,102856,3,0
54,47376,73,1
38,75554,8,0
31,34199,97,1
19,101412,70,1
28,70948,41,0
56,93781,68,1
55,92750,13,0
51,86262,49,0
55,66600,60,1
51,96898,2,0
35,82483,60,1
47,38297,5,0
32,50448,44,0
44,46172,27,0
51,62874,32,0
55,27657,21,0
50,104386,8,0
41,45425,72,1
