CustomerID,Tenure,MonthlyCharges,TotalCharges,ContractType,TechSupport,StreamingTV,PaymentMethod,Churn
CUST1000,52,47.22,7819.68,One year,Yes,Yes,Mailed check,0
CUST1001,15,41.25,3314.57,One year,No,No,Bank transfer,0
CUST1002,72,43.06,6978.95,Month-to-month,Yes,No,Credit card,1
CUST1003,61,49.96,6280.85,One year,No,Yes,Mailed check,0
CUST1004,21,42.14,4579.43,Month-to-month,No,Yes,Bank transfer,0
CUST1005,75,92.77,5933.75,Month-to-month,No,Yes,Credit card,1
CUST1006,75,35.62,7040.27,Month-to-month,Yes,Yes,Electronic check,0
CUST1007,24,66.72,3292.71,One year,Yes,No,Electronic check,0
CUST1008,3,58.73,2683.56,Two year,No,Yes,Bank transfer,1
CUST1009,22,98.77,5373.99,One year,No,Yes,Bank transfer,0
CUST1010,53,37.84,6481.98,One year,No,Yes,Electronic check,0
CUST1011,2,57.85,6122.05,One year,Yes,No,Credit card,0
CUST1012,30,97.86,6402.73,One year,Yes,No,Credit card,0
CUST1013,38,90.59,3541.11,Month-to-month,No,Yes,Credit card,0
CUST1014,2,87.2,6560.89,Month-to-month,No,No,Bank transfer,0
CUST1015,64,48.05,1049.65,Month-to-month,No,No,Mailed check,0
CUST1016,60,41.96,4401.46,Month-to-month,Yes,No,Mailed check,1
CUST1017,21,76.81,145.49,Month-to-month,No,Yes,Mailed check,0
CUST1018,33,95.06,2664.23,Month-to-month,No,No,Mailed check,0
CUST1019,76,68.97,2995.05,Month-to-month,No,No,Mailed check,0
CUST1020,58,70.01,3229.76,Two year,No,No,Bank transfer,1
CUST1021,22,49.6,5594.19,Month-to-month,Yes,No,Bank transfer,0
CUST1022,49,83.86,3169.61,Month-to-month,No,No,Mailed check,0
CUST1023,59,43.09,3644.68,Month-to-month,Yes,Yes,Bank transfer,0
CUST1024,42,52.66,1976.6,One year,No,No,Bank transfer,0
CUST1025,60,59.78,3048.69,Month-to-month,No,No,Mailed check,0
CUST1026,15,65.53,1895.43,Month-to-month,Yes,No,Credit card,1
CUST1027,62,46.97,678.25,One year,No,Yes,Bank transfer,0
CUST1028,62,38.04,4867.24,Month-to-month,Yes,No,Credit card,0
CUST1029,47,72.74,5378.88,Month-to-month,No,No,Bank transfer,0
CUST1030,62,50.2,4993.97,Month-to-month,No,Yes,Bank transfer,1
CUST1031,51,70.69,3761.6,Month-to-month,Yes,No,Mailed check,0
