GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom,Generosity,Corruption_perception,Happiness_Score
30275.94,0.19,51.78,0.67,0.26,0.39,4.48
76081.79,0.54,51.11,0.8,0.44,0.47,7.32
58693.52,0.87,80.78,0.25,0.41,0.85,7.64
48093.35,0.73,51.23,0.62,-0.08,0.34,6.26
12903.48,0.81,52.24,0.57,-0.08,0.87,4.27
12901.56,0.66,74.17,0.83,0.01,0.09,6.6
5117.65,0.69,60.24,0.91,0.09,0.78,4.83
69361.0,0.85,74.95,0.01,0.13,0.85,7.06
48288.64,0.25,42.94,0.67,0.34,0.18,5.49
56791.77,0.49,61.94,0.05,-0.15,0.43,5.39
2136.47,0.22,41.51,0.55,-0.17,0.17,3.03
77607.83,0.99,42.82,0.29,0.11,0.71,6.43
66679.19,0.94,80.79,0.31,0.36,0.54,8.76
17380.96,0.04,46.27,0.35,-0.05,0.64,2.67
14955.08,0.71,63.96,0.62,0.31,0.2,6.21
15080.66,0.93,58.5,0.33,0.01,0.21,5.2
24687.26,0.18,55.63,0.73,0.51,0.04,5.29
42218.14,0.57,80.49,0.4,0.52,0.32,7.36
34839.63,0.92,40.98,0.07,0.04,0.56,4.84
23652.72,0.03,69.87,0.78,-0.02,0.86,4.49
49142.31,0.7,83.35,0.29,0.13,0.67,6.88
11589.76,0.3,65.21,0.43,-0.01,0.44,4.29
23725.5,0.92,82.16,0.69,0.34,0.95,6.99
29625.77,0.97,42.35,0.33,0.46,0.72,5.37
36757.56,0.94,58.85,0.06,0.34,0.93,5.05
62921.49,0.47,51.71,0.37,0.46,0.53,6.39
16374.07,0.86,72.89,0.94,0.12,0.26,6.96
41381.64,0.84,84.16,0.64,-0.07,0.05,8.17
47596.96,0.32,51.54,0.67,0.39,0.73,5.01
4192.81,0.83,69.44,0.63,0.09,0.12,6.39
48799.82,0.04,48.91,0.2,0.34,0.3,4.59
14056.67,0.6,65.44,0.42,0.02,0.53,5.12
5671.6,0.23,60.88,0.75,-0.14,0.56,3.78
75936.4,0.12,83.74,0.1,0.59,0.6,7.05
77267.75,0.08,67.38,0.28,-0.08,0.17,5.65
64767.59,0.7,55.73,0.28,0.59,0.38,6.79
24716.79,0.34,45.13,0.43,0.58,0.62,4.72
8264.93,0.72,46.81,0.98,0.44,0.97,5.3
54896.53,0.07,50.14,0.07,0.33,0.73,4.06
35492.12,0.32,51.29,0.52,0.26,0.92,4.14
10202.04,0.54,78.28,0.18,0.49,0.76,5.59
39866.56,0.79,65.26,0.97,0.03,0.59,6.95
3233.89,0.32,63.55,0.11,0.17,0.19,3.4
72790.97,0.63,45.16,0.4,0.3,0.67,6.22
21073.01,0.89,78.71,0.74,0.13,0.62,6.97
53170.52,0.62,72.53,0.7,0.14,0.6,7.44
25281.03,0.23,43.05,0.42,0.06,0.49,3.27
41845.41,0.02,71.85,0.35,0.25,0.53,4.24
43963.47,0.87,64.46,0.4,0.48,0.33,7.2
15195.93,0.02,43.68,0.26,-0.04,0.52,2.6
77581.98,0.87,60.62,0.21,0.55,0.2,7.37
62123.06,0.53,61.81,0.48,0.35,0.81,6.06
75190.17,0.94,47.46,0.27,0.46,0.19,8.1
71638.77,0.8,82.56,0.29,0.24,0.08,8.42
48033.05,1.0,78.25,0.66,0.42,0.44,8.63
73789.0,0.35,70.11,0.97,-0.19,0.66,6.8
7535.15,0.77,60.8,0.6,0.45,0.44,5.19
16080.64,0.4,58.53,0.08,-0.17,0.28,3.8
4095.57,0.48,69.29,0.08,0.51,0.56,4.64
26363.76,0.63,64.54,0.95,0.59,0.35,6.95
31399.84,0.87,42.8,0.3,0.04,0.93,4.35
22072.25,0.98,63.06,0.09,-0.03,0.92,5.04
66384.63,0.77,76.29,0.6,0.41,0.5,8.19
28861.89,0.42,60.67,0.62,0.0,0.33,4.97
22834.29,0.42,42.34,0.65,0.49,0.74,4.62
43644.34,0.74,75.38,0.27,-0.12,0.04,6.19
11703.48,0.24,49.06,0.02,-0.1,0.47,2.1
64274.66,0.11,51.64,0.97,0.58,0.34,6.76
6426.78,0.35,47.41,0.25,0.34,0.92,3.29
78957.51,0.29,54.86,0.68,0.48,0.01,7.24
61893.46,0.3,74.05,0.71,0.06,0.55,6.31
16297.9,0.23,63.37,0.61,0.34,0.74,4.5
939.01,0.04,49.22,0.31,0.28,0.49,2.81
65329.18,0.02,79.5,0.27,0.28,0.09,6.15
56695.16,0.99,79.58,0.6,0.35,0.97,7.77
58456.07,0.43,79.18,0.87,0.26,0.52,7.86
61815.99,0.38,50.75,0.95,0.14,0.61,6.57
6386.55,0.68,60.31,0.11,0.02,0.24,4.39
28998.03,0.22,84.32,0.15,0.41,0.48,6.0
9711.59,0.95,74.74,0.94,-0.02,0.43,6.32
69116.72,0.79,41.22,0.74,0.35,0.07,7.36
50052.2,0.09,42.93,0.88,-0.01,0.11,4.79
26806.39,0.42,60.88,0.2,0.3,0.84,4.6
5552.89,0.88,80.91,0.59,0.4,0.24,7.01
25223.09,0.94,64.24,0.7,-0.03,0.19,7.08
26352.07,0.47,62.4,0.68,-0.15,0.5,4.92
58503.69,0.61,44.75,0.41,-0.1,0.77,5.14
51185.82,0.17,69.56,0.02,0.28,0.06,5.57
71033.41,0.99,76.99,0.58,0.48,0.58,8.79
38041.09,0.23,57.12,0.25,-0.16,0.12,4.47
10007.74,0.94,74.9,0.45,0.39,0.04,6.78
57202.96,0.65,83.4,0.96,0.07,0.05,8.65
60982.41,0.61,49.17,0.4,0.18,0.83,5.47
