GDP_per_capita,Happiness_Score
30275.94,3.6
76081.79,5.14
58693.52,5.12
48093.35,4.71
12903.48,2.93
12901.56,3.19
5117.65,2.67
69361.0,5.7
48288.64,4.38
56791.77,4.01
2136.47,2.32
77607.83,5.98
66679.19,5.47
17380.96,2.23
14955.08,2.21
15080.66,3.28
24687.26,3.21
42218.14,4.45
34839.63,3.76
23652.72,3.2
49142.31,4.93
11589.76,2.32
23725.5,3.23
29625.77,3.25
36757.56,3.62
62921.49,4.99
16374.07,2.93
41381.64,3.83
47596.96,5.01
4192.81,1.76
48799.82,4.35
14056.67,2.48
5671.6,3.01
75936.4,5.9
77267.75,6.38
64767.59,4.5
24716.79,3.37
8264.93,2.86
54896.53,4.79
35492.12,4.31
10202.04,2.25
39866.56,4.7
3233.89,3.31
72790.97,5.46
21073.01,2.83
53170.52,5.39
25281.03,4.05
41845.41,3.83
43963.47,3.99
15195.93,2.62
77581.98,5.21
62123.06,4.65
75190.17,5.26
71638.77,5.2
48033.05,4.38
73789.0,5.81
7535.15,3.15
16080.64,2.3
4095.57,2.7
26363.76,3.21
31399.84,3.55
22072.25,3.44
66384.63,4.76
28861.89,3.63
22834.29,3.22
43644.34,4.43
11703.48,2.73
64274.66,6.44
6426.78,2.0
78957.51,5.68
61893.46,4.78
16297.9,2.54
939.01,1.73
65329.18,5.86
56695.16,5.55
58456.07,4.64
61815.99,4.67
6386.55,2.56
28998.03,3.17
9711.59,2.8
69116.72,5.56
50052.2,3.74
26806.39,4.11
5552.89,3.18
25223.09,2.95
26352.07,3.12
58503.69,5.07
51185.82,4.73
71033.41,5.88
38041.09,4.91
10007.74,2.41
57202.96,4.46
60982.41,4.36
45121.54,3.89
61791.89,5.07
39756.75,4.89
42057.26,3.84
34489.51,3.84
2520.82,2.12
9077.37,3.05
2998.62,3.41
51094.63,4.29
25491.3,3.03
40931.37,4.57
72651.53,5.97
20318.73,3.94
33125.44,3.95
60566.32,4.85
18689.45,3.23
6619.9,2.89
23535.24,3.59
13317.09,2.92
74410.96,6.25
64745.57,5.82
50855.6,5.23
69781.12,5.81
64391.93,5.14
15332.32,2.84
71458.44,6.18
43377.71,3.76
64691.49,5.42
71739.26,5.39
25781.28,3.3
9249.13,3.1
18620.85,3.03
34455.07,3.75
65532.17,4.6
68928.08,5.82
1052.69,2.38
41104.41,5.14
33684.17,3.53
18157.57,3.02
10029.3,2.63
27340.41,4.16
75461.32,5.73
26194.63,3.45
41743.85,4.39
56390.01,4.91
29408.55,3.25
77756.68,5.98
77014.56,6.39
20516.69,2.51
40031.26,4.07
24419.83,2.87
23144.82,3.75
3432.51,1.41
48960.36,4.17
40462.98,4.21
4592.56,3.01
22652.39,3.1
72707.14,5.36
19545.17,3.92
12019.14,1.88
39411.49,2.87
78859.21,6.16
19743.39,2.74
53934.78,4.19
61048.76,5.41
19392.18,3.09
58393.2,4.64
29738.76,2.85
50768.31,4.97
50865.61,4.87
43094.09,4.11
7678.04,3.31
66906.55,4.81
26002.02,2.54
15328.22,2.42
3741.62,2.16
47475.99,4.5
54366.37,4.6
1818.73,2.27
41211.4,3.43
18506.41,3.65
51791.24,4.55
14362.13,3.28
55429.55,4.94
31245.46,3.79
74970.03,6.03
11432.92,2.8
27614.77,3.7
9521.14,3.14
74013.14,5.8
70248.48,5.87
21006.36,3.01
52968.73,5.37
65469.16,4.94
44638.46,5.13
42607.22,4.11
19727.26,2.27
7901.67,2.46
71828.65,5.25
72083.24,6.02
50831.57,4.22
27452.87,3.15
28262.16,2.47
58213.48,4.68
71820.27,4.38
71023.37,4.76
62500.11,5.51
51541.52,4.97
7189.13,2.57
13349.48,2.18
71935.06,5.57
48711.11,4.43
1231.17,1.48
8566.99,3.18
53248.39,5.1
902.4,1.93
13284.24,2.68
44124.34,4.31
55505.67,3.75
52330.92,4.49
18329.41,2.58
57118.25,4.36
19361.3,2.83
26369.28,4.22
59846.07,5.31
52145.82,4.32
68013.26,5.69
52780.22,5.34
45680.53,4.75
7947.14,2.43
29733.41,3.16
21583.59,3.43
19897.18,3.19
77854.34,6.34
31751.27,3.91
71417.7,6.1
50675.52,4.27
63687.5,5.84
40459.65,4.12
46363.86,5.36
39655.16,3.64
16021.82,3.67
57934.94,5.0
22821.4,2.82
2433.12,1.88
51815.05,4.43
14580.3,2.94
75266.46,6.02
76337.32,5.53
73231.72,5.65
29927.62,4.57
1728.8,2.95
74301.33,5.93
34540.64,3.75
77349.06,5.93
77107.79,6.16
68314.25,4.9
23908.69,3.07
31115.27,2.72
68165.37,5.61
25695.3,3.61
13974.67,2.46
44765.7,5.03
74924.3,5.13
55834.37,4.06
45819.86,4.4
8225.53,2.93
49393.07,5.31
79209.28,5.73
