Experience_Years,Salary_in_Thousands
37.45,209.05
95.07,482.0
73.2,389.8
59.87,325.44
15.6,103.61
15.6,108.81
5.81,57.38
86.62,457.68
60.11,319.86
70.81,357.43
2.06,34.59
96.99,507.03
83.24,438.94
21.23,113.4
18.18,100.1
18.34,122.23
30.42,171.73
52.48,289.19
43.19,236.26
29.12,165.91
61.19,335.31
13.95,84.59
29.21,167.03
36.64,198.56
45.61,243.69
78.52,409.5
19.97,122.06
51.42,272.33
59.24,328.76
4.65,34.28
60.75,321.9
17.05,100.86
6.51,67.0
94.89,496.41
96.56,513.13
80.84,409.34
30.46,174.98
9.77,77.73
68.42,362.94
44.02,250.73
12.2,75.85
49.52,281.68
3.44,60.18
90.93,471.03
25.88,144.93
66.25,365.79
31.17,191.65
52.01,274.81
54.67,289.15
18.49,109.61
96.96,491.35
77.51,398.38
93.95,479.71
89.48,459.74
59.79,318.6
92.19,483.28
8.85,79.75
19.6,108.01
4.52,52.46
32.53,180.53
38.87,213.84
27.13,162.42
82.87,423.14
35.68,202.2
28.09,162.13
54.27,296.27
14.09,93.35
80.22,445.65
7.46,50.9
98.69,508.13
77.22,399.89
19.87,113.8
0.55,16.39
81.55,439.62
70.69,387.63
72.9,378.8
77.13,397.31
7.4,61.74
35.85,193.71
11.59,84.26
86.31,453.58
62.33,316.49
33.09,200.92
6.36,69.74
31.1,169.36
32.52,178.71
72.96,387.66
63.76,342.12
88.72,470.19
47.22,276.21
11.96,78.03
71.32,368.64
76.08,386.6
56.13,293.33
77.1,405.15
49.38,284.84
52.27,276.19
42.75,236.01
2.54,32.55
10.79,85.83
3.14,60.98
63.64,332.9
31.44,172.28
50.86,284.73
90.76,480.6
24.93,163.11
41.04,231.03
75.56,394.18
22.88,140.31
7.7,69.58
28.98,173.08
16.12,105.68
92.97,495.52
80.81,435.75
63.34,350.52
87.15,462.22
80.37,420.16
18.66,114.75
89.26,478.34
53.93,281.5
80.74,427.41
89.61,464.11
31.8,179.29
11.01,87.81
22.79,135.88
42.71,234.02
81.8,415.41
86.07,457.83
0.7,29.93
51.07,297.01
41.74,225.63
22.21,133.25
