Study_Hours,Attendance,Assignments_Completed,Grade
4.370861069626263,84.90808570098726,12,0
9.556428757689245,76.80481831720601,7,1
7.587945476302646,65.47638081431639,12,0
6.387926357773329,90.68975098534743,9,0
2.4041677639819286,84.23655862769397,5,1
2.403950683025824,58.130846967244565,11,2
1.5227525095137953,95.54635922469213,9,1
8.795585311974417,91.12686214615846,10,1
6.41003510568888,97.4899956645962,10,1
7.372653200164409,86.28597541941801,12,0
1.185260448662222,80.6707597967895,13,0
9.72918866945795,70.91215181453094,6,1
8.491983767203795,96.63642416770065,13,1
2.9110519961044856,93.30319447502042,14,0
2.636424704863906,52.26093350530947,13,1
2.650640588680904,51.3183487248626,14,1
3.7381801866358395,68.82316834390248,14,1
5.72280788469014,90.52766653909165,11,0
4.887505167779041,99.36380646574722,5,0
3.6210622617823773,57.52084455517641,11,0
6.506676052501415,79.70653576760675,14,1
2.2554447458683766,69.04454283155107,9,2
3.629301836816963,98.49571989073016,10,0
4.297256589643226,92.10594615678544,14,0
5.104629857953324,91.91643523555689,11,1
8.066583652537123,73.43465798974852,9,0
2.7970640394252375,70.74097511688326,11,0
5.628109945722504,63.670353596535314,13,2
6.331731119758382,52.81877483254635,7,0
1.4180537144799796,93.23611881275266,12,2
6.467903667112945,90.64505045650388,6,2
2.5347171131856236,99.98588366430653,11,1
1.5854643368675156,99.83184185369527,6,0
9.539969835279999,77.77158528013138,8,1
9.690688297671034,88.44937075902553,11,1
8.275576133048151,97.23828649412141,7,1
3.741523922560336,92.48236953387058,6,1
1.8790490260574548,62.36740508715988,14,0
7.158097238609412,72.52720676550467,11,1
4.961372443656412,56.45797075757475,5,2
2.0983441136030097,97.70255136293612,12,1
5.456592191001432,80.308731722544,7,2
1.3094966900369656,61.43214027517314,6,2
9.18388361870904,83.58503422029284,7,1
3.3290198344001523,80.90641202289478,9,1
6.962700559185838,67.90813590164203,12,1
3.8053996848046987,55.67787960998145,14,0
5.680612190600297,83.57865977963998,11,1
5.920392514089517,76.01538504518966,11,1
2.6636900997297435,88.61591958678196,11,2
9.726261649881026,76.00817505559966,12,2
7.976195410250031,92.609075015927,5,1
9.455490474077703,77.59534193872427,8,0
9.053446153848839,78.04689857676931,10,1
6.381099809299767,93.83268013291726,13,0
9.296868115208051,70.17414331061985,6,1
1.7964325184672756,56.70076142253204,5,2
2.763845761772307,51.43913381566695,14,2
1.4070456001948426,87.75686278368096,6,1
3.927972976869379,81.01547756767323,11,2
4.498095607205338,85.20398840496118,7,2
3.442141285965063,60.64820807544554,14,0
8.458637582367365,56.818573779338486,6,1
4.210779940242304,50.7272332833941,11,1
3.5284105871864266,67.52937794032985,6,0
5.884264748424236,79.49588434273166,7,1
2.2683180247728636,69.61220225498661,11,0
8.219772826786357,71.87374610118646,8,1
1.6709557931179373,95.20793472468742,5,2
9.881982429404655,67.41277335116501,9,1
7.9502029236699165,75.69947445799053,13,1
2.7884411338075514,89.18265063705715,12,1
1.0496990541124216,69.8271391160635,13,2
8.339152856093508,81.10433501139367,14,1
7.361716094628554,93.11818543733726,13,1
7.561064512368886,97.47603118288211,11,0
7.941433120173512,57.3536740464519,8,1
1.6664018656068134,96.32938125807472,9,0
4.226191556898454,74.6058146539769,5,1
2.0428215357261674,62.91221941494792,5,2
8.767930832880342,72.95678781191307,7,1
6.609683141448022,99.00162876427385,12,1
3.9780822236738427,74.63090469964348,6,2
1.5720251525742128,66.43758051437541,8,2
3.79884089544096,81.67004271583629,6,2
3.9266498982407234,62.00728093890965,9,2
7.566455605042576,53.7931664054332,13,0
6.738017242196918,56.44398609553246,5,0
8.98491468318694,56.40229194788862,9,1
5.249934326457543,57.595134675614716,13,0
2.0763482134447155,56.94135863247051,5,2
7.419203085006955,82.04373724016074,13,1
7.847065437552077,59.09400421995724,12,1
6.051494778125466,67.28336416619317,8,1
7.938704619591049,94.8394204953006,14,1
5.444160367279517,73.69808201314362,9,1
5.704595464437946,83.37788692605136,9,1
4.847869165226946,58.61599356008149,10,1
1.2287721406968566,59.61445094043354,11,2
1.97102284293974,52.043430813323944,12,0
1.2828626711806081,58.44675315360823,12,2
6.727693701374023,63.92951695159793,6,1
3.82920382968694,58.85052421383734,13,1
5.577136220482325,54.43512668785278,11,0
9.168098265334837,56.03179355503004,8,1
3.2436300623398746,73.03893840163629,8,0
4.693446307320667,60.31668592028963,12,0
7.799960246887438,68.21349305240378,8,1
3.059183489424602,75.17086354274284,10,1
1.6928191884591368,84.51974143146826,9,2
3.6077630762239123,51.965606992054944,7,2
2.4509915852860398,89.97051994545214,14,1
9.367278871083158,81.39501947454539,6,1
8.273083416079754,54.08795159744359,13,0
6.700633808593811,93.67893120533887,14,1
8.84314531168946,96.04362002659066,13,1
8.23304869209203,53.05389799274319,5,2
2.6791305299743224,63.843882407360184,14,2
9.0330309864098,90.31006398965306,7,1
5.854080177240856,87.41298451918291,12,0
8.266961396476564,59.226050967818864,10,1
9.06482169931144,60.467466166835514,9,1
3.8620312747467747,68.5236051395691,9,0
1.9904673207490908,74.22614925955106,10,0
3.051416462877475,80.9127385765148,11,2
4.843970097636307,68.44568197848862,5,0
8.362132893302437,73.1267358066574,13,1
8.74657524930709,87.37354690668784,7,1
1.0625691747807164,51.834160144529896,8,0
5.596725723198092,62.62184721720104,14,1
4.7566990283390105,85.66747929422762,5,1
2.9989702942365724,94.76034188435997,14,1
2.0787883060031453,75.58387210578331,7,0
4.038536542632651,76.60567426326578,6,0
9.486187335212673,55.358600566988805,6,1
3.908826388186797,72.37061834117273,5,1
5.669115595690295,76.63086332275115,12,1
7.3271706300566,62.12352518173648,7,1
4.272666421413646,63.46216154746905,7,1
9.746038744488645,68.86420815523113,10,1
9.662025654479,51.003559888886315,12,1
3.2660406624282774,66.10395827915892,13,2
5.475236553031469,60.572400349827234,13,1
3.707904788350927,66.37486760889573,8,1
3.5635644493972087,55.98810659096256,9,0
1.3319825261907952,94.52636403699475,6,0
6.486079005819072,79.67962267770244,13,1
5.524111209059753,83.95511595722448,12,1
1.463308761249904,89.45856193036691,7,2
3.507818178129503,74.92210994645286,13,2
9.174392973699883,54.34601440437118,7,1
3.1560570160027517,76.85532709092739,13,0
2.304053848821008,79.34205590104395,6,1
5.405074842498067,87.2719737092165,14,0
9.870854086995406,71.58297731148397,13,1
3.178497443603504,56.37901513977819,12,2
7.049219926652907,64.18879528993622,13,1
7.854576537958458,68.15411481993175,9,1
3.1387378959315972,82.29586206658007,6,0
7.553947137506736,78.53891523344559,12,1
4.3100481944732785,67.80483629489231,10,0
6.690752475342215,99.32576243964898,12,1
6.7017673968480524,80.28874096784436,9,1
5.821972156672826,61.86133958679972,14,1
1.8126079304896747,55.089123631020186,6,2
8.51772246030314,57.642956959216605,10,0
3.8870205847456223,62.29788641922541,9,0
2.678666593598688,58.03406866297779,9,0
1.3669762739928752,59.32835120256529,5,2
6.318036488694176,64.25475843469235,6,1
7.098079256580542,58.66867976473774,12,1
1.1492904603507053,94.83827123132126,7,1
5.608837524693529,54.01168728308211,14,1
3.0384619767814414,76.22556947851274,7,0
6.806555113685048,70.51984134948307,12,1
2.569297861044923,99.11893084543033,12,2
7.218439642922194,55.60194510840262,6,1
4.480618116704837,69.89277995228709,12,1
9.43056989863061,98.47352166376845,5,1
2.2376884973139393,93.27535629469901,10,2
4.069597159452327,90.85360354746399,12,0
2.021261691165302,62.895141352246995,7,2
9.322242564507064,58.54437936950329,12,1
8.896054180428829,83.43216099622154,5,1
3.3214746494364005,96.46879945637929,13,1
6.939856414307611,77.83814465069649,13,1
8.354999801810942,78.580634473495,9,1
5.996807304395161,63.998954683014205,14,1
5.766855205204059,88.47464665959684,8,1
3.1766706181040654,59.35218742787617,10,1
1.837924910253093,66.18396182021218,11,0
9.074941821579941,71.27182193082083,9,1
9.103762514469974,75.38051893422275,14,1
6.697913115459412,62.12048662075401,13,1
4.051268119438307,55.74184123696018,7,1
4.142886171513948,80.53100212208163,11,0
7.533601109832154,64.43152766201278,14,1
9.073992339573193,79.06191107113061,14,1
8.983777818386056,57.718135763710116,9,0
8.018879912718614,74.05700509274087,11,1
6.77828481538859,76.62947162757929,6,1
1.7572596849554394,52.591176841121346,8,2
2.454658426851524,66.83021390969603,6,1
9.086987696743714,56.72073384694871,11,1
6.457861536936309,53.168748523638385,6,1
1.0827734645496667,99.49801161949726,5,0
1.913243885794289,66.11769224873615,13,2
6.971515921972502,90.49372229273175,5,1
1.0455542546159682,62.732032738188195,12,2
2.4472724627574878,84.07513611119646,6,0
5.938604104299275,88.01139299448432,12,1
7.227056779234239,79.78193703039221,7,1
6.867651335523405,73.57880942750792,10,1
3.018423785145038,70.59204570736343,7,0
7.409612992127823,67.44341332714977,11,1
3.135241787471201,96.4764572123913,14,2
3.9285972834334095,91.53097038938645,13,1
7.718422646062217,98.25134553332563,6,1
6.846696091424932,56.21486117427724,9,0
8.6430106944476,86.54337376018222,10,1
6.91851603070309,96.91702284105189,8,0
6.114777430019244,59.061653308283006,8,1
1.8430729104528323,53.32481336833887,8,2
4.309442227534902,87.05603246450295,6,0
3.386821309135529,78.7236556589956,8,1
3.195906790411752,92.0914388379136,5,0
9.75709499277201,56.988618831314476,10,1
4.537879522000844,89.76336559299452,5,1
9.02841899659402,60.08136600238723,14,1
6.680247633975366,58.18279714328523,10,1
8.153301731874835,58.21328989654965,5,1
5.523733837946729,90.72873601156911,10,0
6.192134961637232,83.25986103481,14,0
5.432659244369775,76.15327123845597,12,0
2.7571868901824006,67.94152420617513,6,0
7.502069037353548,93.86002704065541,6,1
3.526951261967702,69.62225537113177,8,1
1.2188436978830846,90.82997197357886,7,1
6.80925066316451,71.95674542851091,8,1
2.5939961146634403,68.84722147124538,11,1
9.464127259176228,73.13398928348032,5,1
9.585357193023286,65.0688937082071,10,1
9.233779511984036,87.38046900881255,7,1
4.331428302298999,75.13601950462396,14,2
1.1391095487598069,61.61063475734086,11,0
9.354867063289529,94.97872866372842,14,1
4.8536573348558285,69.19456106866056,6,1
9.699893371393026,77.17764305569943,6,1
9.672579793803276,95.32360554822735,8,1
8.677085099206241,81.21189979569961,5,1
3.6500400286262713,55.8449020354182,7,1
4.465879557417328,96.99160618067376,13,1
8.660230043651712,81.38540265357089,11,1
3.852298046406499,66.7452807328543,11,1
2.5254347201748324,56.96360363316936,8,1
6.0112113621251515,89.7012594635148,6,1
9.425392967447028,81.00363779642568,8,1
7.264268170074757,76.67305459881608,10,1
6.1305505308042845,94.69462915254789,7,1
1.8745884439369167,89.42986056122655,5,0
6.535065040292528,57.58374398663756,12,0
9.91048465093837,65.5861033897774,9,1
2.260756137128716,62.424456990723286,9,0
5.664966871273631,87.19731462863385,8,2
8.8963576473516,51.67662173678897,10,1
7.66691755978784,78.49448424356582,7,1
7.273141668957412,88.12293428703452,13,1
7.322356755883983,93.83828183808748,9,1
4.2354203609777965,67.10408743579538,7,0
3.64232659838044,91.06286523360063,5,1
8.284250399306622,55.53158684776036,14,0
8.291020552112627,92.3226145867259,10,1
8.803650867220934,56.37443311659912,6,1
9.219164973008242,69.86436452801837,7,1
5.60208158974844,89.86476828897767,5,2
5.513646652184796,57.49587136743869,13,1
8.184656610700976,61.462569761632075,12,1
6.849675376999887,86.1126284196533,6,0
7.31770189531933,86.00182682730372,12,1
8.16213402492491,82.05738164426486,13,1
9.010048076358096,84.697422223355,5,1
4.041956411663822,77.13622216737981,9,0
4.380246573759496,62.58995294534763,12,1
1.845837458567821,67.28479967519597,6,0
6.204521268965566,59.079885840071285,8,1
1.3234804641706788,95.42252806668142,11,2
5.190382163192141,79.16958973830603,7,2
5.883801712368189,70.042570838182,9,1
3.5788712691545594,73.10029018220663,12,2
6.317499345121097,97.36416698059077,14,0
1.2745022494514449,57.66757015580401,7,0
1.3361336987429298,79.31149160083986,8,2
8.403405045936925,75.2944339442233,13,1
4.241715772701366,80.57271177173239,11,1
2.143544613866963,50.90550919104203,5,2
5.700189340493239,93.60619544720757,8,0
7.9299419778874976,96.60591412418063,8,1
2.9423892474715885,78.25665917946044,13,1
6.606014282371002,84.8325411938446,10,1
1.768127184943912,96.12496905886479,13,1
1.4651354905174694,85.36193171566993,10,0
5.782191684113332,57.62695214571307,10,1
5.865716094490959,78.81441800834065,9,0
6.736869113483859,80.3357523191428,9,0
7.534822003503954,71.2065335651193,6,1
9.782668715162812,86.82221178123615,12,1
5.646703134710758,96.71835073845074,12,0
3.9066082564712135,96.27842564533881,5,1
8.156675752918332,72.5419685702066,12,1
3.437490261358668,55.661902292037766,9,1
4.950742786350725,99.24205994811672,6,0
1.7061074320803935,91.94490432229671,6,0
1.2281566907391177,56.233134060163344,10,0
9.663835732101326,96.04209413086862,13,1
8.523821084609853,93.49481810310641,5,1
7.263767854843282,75.94190285630361,10,1
4.680576499728429,79.56377178724647,13,1
2.559648880637612,69.95013519350651,12,2
2.4079333840397745,52.73808194110157,10,1
3.252186083481358,66.75986208229504,7,1
5.943039982355084,90.14267242990057,12,1
7.431363304300561,50.23160115023014,13,1
6.941776390459581,66.6749585845572,5,1
3.5194050725134858,69.90843467954717,13,0
9.593787525968747,76.86978014689615,10,1
7.641072250261916,95.99278082063802,10,1
5.989186472602606,67.31729971829806,8,0
6.5054867161091705,67.34766009481139,5,0
4.776400561850109,86.87506240548743,14,1
3.229578905510417,72.61089704449036,12,2
4.2037541078613545,61.2302411469991,6,1
7.820614994179322,72.62197580663467,5,1
1.1295413976678028,57.04285101898999,6,0
2.0446537645622462,58.819349325311165,5,2
1.4140237781957747,74.91838863697399,5,1
1.3665592208707311,70.9462724752274,13,2
8.699145256099065,95.742295053405,5,1
7.332920734420213,68.11969495583165,8,0
5.267564461785927,79.02941751390217,14,0
1.8805074458590134,81.61321439597651,10,0
5.4245428760514915,50.654722829416684,11,1
5.261245937025091,83.17686860083553,6,0
2.5588168291901368,58.90179834348757,10,2
4.904664843141758,98.05351587347275,11,1
4.586542609576361,57.43313638765565,14,0
6.542650882469948,70.73120618635119,14,0
6.715842857808794,54.26748340393219,6,0
1.4077360879484007,99.84371259229736,6,2
4.371513531638241,75.10975051656213,14,0
6.632739241428127,79.76925086600218,11,1
5.528226327220789,53.353823869421376,5,2
8.7084085706949,87.49802351995889,12,1
6.928242684570505,60.49527965477929,7,1
2.466409843732867,94.90271447203568,10,1
1.6351187266038685,60.25698202410036,13,2
6.78177350385684,59.534386033183324,10,0
1.2386017948745964,51.827483392404744,13,0
6.2719802314611695,73.60334725549995,11,1
9.462072172824618,78.24205666313082,13,1
6.179267600882911,53.285431971417616,6,1
4.493529335858697,88.77638083475053,12,0
6.789593965981179,72.66444173740138,12,1
5.12427601442365,76.219513466379,6,2
5.910551103843415,72.03813734691141,8,0
9.473183278988726,70.0381530437663,11,1
4.474923740206968,77.9820165654109,8,2
9.650715074415228,57.76201229653562,8,1
9.148155777604574,59.09640652476355,10,1
2.762120213103668,93.08928105067587,14,1
1.624251707876489,97.30577310668164,10,0
1.9070020123968399,68.66546581398765,14,2
1.1639964308639477,63.53723365717769,7,2
1.8499866468033557,82.19997716195078,13,2
7.147060960747211,70.43670855490481,14,0
1.6406978361420608,51.26931778301724,6,2
3.8707806726438516,57.80762986830952,10,1
8.60387779872509,85.79861144236988,11,0
1.209447421622433,82.94619709550757,13,0
8.330216343300421,51.354799625174174,7,1
3.5366929729605996,61.098608096647474,14,1
