CustomerID,Gender,AgeGroup,ProductQuality,DeliverySpeed,PriceSatisfaction,SupportRating,ComplaintFiled,Satisfaction
CUST0001,Male,Teen,Excellent,Slow,High,6,No,Medium
CUST0002,Female,Senior,Poor,Slow,High,6,Yes,Low
CUST0003,Male,Adult,Poor,Fast,High,8,No,Medium
CUST0004,Male,Senior,Average,Slow,High,5,No,Low
CUST0005,Male,Adult,Average,Slow,Medium,3,No,Low
CUST0006,Female,Senior,Excellent,Normal,High,3,No,Medium
CUST0007,Male,Adult,Average,Normal,High,6,Yes,Low
CUST0008,Male,Teen,Average,Normal,Low,2,No,Low
CUST0009,Male,Senior,Average,Slow,Medium,6,No,Low
CUST0010,Female,Teen,Excellent,Normal,High,6,No,Medium
CUST0011,Male,Adult,Average,Slow,Low,8,No,Low
CUST0012,Male,Senior,Average,Slow,Medium,7,No,Low
CUST0013,Male,Senior,Poor,Fast,Medium,8,Yes,Low
CUST0014,Male,Adult,Excellent,Slow,Low,9,No,Medium
CUST0015,Female,Adult,Average,Normal,Medium,6,Yes,Low
CUST0016,Male,Adult,Average,Normal,High,3,No,Low
CUST0017,Female,Adult,Poor,Normal,Medium,10,Yes,Low
CUST0018,Female,Adult,Average,Fast,Low,3,Yes,Low
CUST0019,Female,Adult,Average,Slow,Low,1,No,Low
CUST0020,Male,Adult,Average,Normal,Medium,5,No,Low
CUST0021,Female,Adult,Excellent,Fast,High,4,No,Medium
CUST0022,Male,Adult,Poor,Normal,Low,9,No,Low
CUST0023,Female,Teen,Average,Fast,Medium,9,No,Medium
CUST0024,Female,Adult,Excellent,Slow,Low,5,No,Medium
CUST0025,Female,Teen,Average,Normal,Medium,10,No,Low
CUST0026,Female,Adult,Average,Slow,High,4,Yes,Low
CUST0027,Female,Adult,Average,Normal,High,7,No,Low
CUST0028,Female,Senior,Average,Fast,Low,6,No,Low
CUST0029,Female,Adult,Excellent,Slow,Medium,4,No,Medium
CUST0030,Female,Teen,Average,Normal,Low,10,No,Low
CUST0031,Male,Teen,Excellent,Slow,Medium,2,Yes,Low
CUST0032,Male,Adult,Average,Normal,Medium,1,Yes,Low
CUST0033,Female,Adult,Average,Normal,Low,4,No,Low
CUST0034,Female,Teen,Poor,Fast,Low,4,No,Low
CUST0035,Female,Teen,Average,Normal,Medium,1,Yes,Low
CUST0036,Male,Adult,Average,Normal,High,6,No,Low
CUST0037,Female,Teen,Excellent,Slow,High,4,No,Medium
CUST0038,Male,Senior,Average,Slow,Low,1,No,Low
CUST0039,Male,Adult,Excellent,Slow,High,1,No,Medium
CUST0040,Male,Teen,Poor,Slow,Medium,1,Yes,Low
CUST0041,Male,Teen,Excellent,Fast,Medium,8,No,Medium
CUST0042,Male,Senior,Excellent,Normal,High,10,No,Medium
CUST0043,Female,Adult,Excellent,Normal,High,8,No,Medium
CUST0044,Female,Adult,Excellent,Slow,High,2,No,Medium
CUST0045,Female,Senior,Excellent,Fast,Medium,7,No,Medium
CUST0046,Female,Senior,Average,Normal,Medium,8,No,Low
CUST0047,Female,Senior,Poor,Slow,High,8,Yes,Low
CUST0048,Male,Adult,Poor,Normal,Low,10,No,Low
CUST0049,Female,Adult,Excellent,Normal,Medium,7,No,Medium
CUST0050,Female,Teen,Average,Slow,Medium,5,Yes,Low
CUST0051,Male,Adult,Excellent,Normal,Medium,1,No,Low
CUST0052,Female,Adult,Average,Normal,Low,9,Yes,Low
CUST0053,Male,Adult,Poor,Slow,Low,7,No,Low
CUST0054,Female,Senior,Poor,Fast,High,2,No,Low
