StudentID,Gender,StudyHours,Attendance,InternetAccess,ExtraClasses,ParentalSupport,SportsActivity,Performance
STU0001,Male,3.0,87.9,Yes,No,Low,Yes,Medium
STU0002,Female,18.1,51.2,Yes,No,Medium,No,Medium
STU0003,Male,10.6,51.1,No,No,Low,Yes,Low
STU0004,Male,16.7,66.2,Yes,No,Low,Yes,Medium
STU0005,Male,7.1,74.4,Yes,Yes,Low,No,Medium
STU0006,Female,18.0,88.5,Yes,No,Low,No,High
STU0007,Male,8.4,84.2,Yes,No,High,No,Medium
STU0008,Male,1.2,72.3,Yes,Yes,Low,Yes,Medium
STU0009,Male,18.2,63.7,Yes,Yes,High,Yes,High
STU0010,Female,2.7,99.9,Yes,No,High,No,Medium
STU0011,Male,7.1,71.3,Yes,Yes,Medium,Yes,Medium
STU0012,Male,19.1,72.6,Yes,No,Low,Yes,Medium
STU0013,Male,19.1,58.2,No,No,Medium,No,Medium
STU0014,Male,11.9,89.7,Yes,Yes,High,No,High
STU0015,Female,13.0,84.7,Yes,Yes,Medium,Yes,High
STU0016,Male,9.5,61.0,Yes,No,Low,Yes,Medium
STU0017,Female,6.6,54.1,Yes,Yes,Medium,Yes,Medium
STU0018,Female,7.2,84.0,No,Yes,High,Yes,High
STU0019,Female,13.8,82.7,Yes,Yes,High,Yes,High
STU0020,Male,15.3,63.7,Yes,Yes,Low,Yes,Medium
STU0021,Female,16.0,97.5,No,No,Medium,Yes,Medium
STU0022,Male,16.0,57.6,Yes,Yes,Low,No,Medium
STU0023,Female,2.7,71.6,No,No,Low,No,Low
STU0024,Female,10.4,97.2,Yes,Yes,High,No,High
STU0025,Female,2.1,71.0,Yes,Yes,Low,Yes,Medium
STU0026,Female,11.4,81.9,Yes,No,Low,Yes,Medium
STU0027,Female,9.4,69.9,Yes,No,Low,Yes,Medium
STU0028,Female,17.9,63.7,No,Yes,High,Yes,High
STU0029,Female,7.7,99.2,Yes,Yes,High,Yes,High
STU0030,Female,3.2,70.5,Yes,Yes,Medium,No,Medium
STU0031,Male,3.7,94.7,Yes,Yes,High,No,Medium
STU0032,Male,15.5,61.5,Yes,No,Low,No,Medium
STU0033,Female,12.7,60.7,Yes,Yes,Medium,Yes,High
STU0034,Female,2.9,51.6,No,Yes,Medium,No,Medium
STU0035,Female,2.6,82.6,Yes,Yes,Low,Yes,Medium
STU0036,Male,14.3,68.4,Yes,No,Medium,Yes,Medium
STU0037,Female,2.4,93.2,Yes,No,High,Yes,High
STU0038,Male,16.6,73.7,Yes,Yes,Low,No,Medium
STU0039,Male,14.4,98.4,Yes,No,Low,No,Medium
STU0040,Male,2.5,59.3,Yes,Yes,Low,Yes,Medium
STU0041,Male,2.6,93.4,No,Yes,Low,No,Medium
STU0042,Male,19.7,88.8,Yes,No,High,No,High
STU0043,Female,8.1,88.5,Yes,No,Medium,Yes,Medium
STU0044,Female,8.0,92.2,Yes,No,Medium,Yes,Medium
STU0045,Female,16.4,88.1,No,Yes,High,Yes,High
STU0046,Female,19.0,81.3,Yes,Yes,Low,No,High
STU0047,Female,19.7,56.6,Yes,No,Medium,Yes,High
STU0048,Male,15.3,51.6,Yes,Yes,Medium,No,Medium
STU0049,Female,8.1,96.0,Yes,Yes,Medium,Yes,High
STU0050,Female,2.6,80.8,Yes,Yes,High,No,High
STU0051,Male,15.8,89.8,Yes,No,High,Yes,High
STU0052,Female,11.6,74.1,Yes,Yes,Medium,No,High
STU0053,Male,9.1,55.9,Yes,Yes,High,No,Medium
STU0054,Female,18.2,56.3,No,No,Low,No,Medium
STU0055,Male,3.1,84.3,Yes,Yes,Low,No,Medium
STU0056,Female,10.4,71.5,Yes,Yes,Low,Yes,High
STU0057,Female,1.2,60.0,Yes,Yes,Medium,No,Medium
STU0058,Male,9.9,74.6,Yes,Yes,Medium,Yes,Medium
STU0059,Male,2.1,53.2,Yes,Yes,Medium,Yes,Medium
STU0060,Male,3.3,79.1,Yes,Yes,High,No,Medium
STU0061,Male,3.2,63.4,Yes,No,Medium,Yes,Medium
STU0062,Male,13.3,89.9,Yes,Yes,Medium,No,Medium
STU0063,Male,15.2,65.5,Yes,No,Low,No,Medium
STU0064,Male,12.1,72.8,Yes,Yes,Low,Yes,Medium
STU0065,Male,19.3,50.6,Yes,Yes,Medium,No,Medium
STU0066,Female,8.1,53.6,Yes,Yes,Medium,Yes,Medium
STU0067,Female,6.4,69.6,Yes,Yes,High,Yes,High
STU0068,Male,17.5,74.0,Yes,No,Low,Yes,Medium
STU0069,Female,5.2,80.0,Yes,Yes,Low,No,Medium
STU0070,Female,19.3,64.6,Yes,Yes,Medium,No,High
STU0071,Female,1.2,84.7,Yes,No,Low,No,Medium
STU0072,Female,19.4,93.0,Yes,No,Low,No,High
STU0073,Male,1.8,89.0,Yes,No,High,Yes,Medium
STU0074,Female,17.9,52.0,No,Yes,Low,Yes,Medium
STU0075,Male,11.0,74.0,No,No,Medium,No,Medium
STU0076,Female,19.9,55.2,No,Yes,Low,Yes,High
STU0077,Female,2.4,62.1,Yes,Yes,Low,Yes,Medium
STU0078,Female,11.5,99.3,Yes,Yes,Medium,Yes,High
STU0079,Male,19.4,57.1,No,Yes,High,No,High
STU0080,Female,10.9,74.9,Yes,Yes,Medium,No,High
STU0081,Male,13.0,80.9,Yes,Yes,High,Yes,High
STU0082,Female,14.2,85.1,Yes,No,Low,Yes,High
STU0083,Male,9.6,78.0,Yes,Yes,High,No,High
STU0084,Female,12.9,50.5,No,Yes,Low,No,Medium
STU0085,Male,12.1,66.3,Yes,Yes,Medium,Yes,Medium
STU0086,Male,18.1,75.9,Yes,No,Medium,No,Medium
STU0087,Female,1.9,54.4,Yes,Yes,High,Yes,High
STU0088,Male,6.3,67.5,Yes,Yes,Medium,Yes,Medium
STU0089,Female,19.1,51.7,Yes,No,Low,No,Medium
STU0090,Female,17.9,53.9,Yes,No,Low,No,Medium
STU0091,Female,9.7,69.8,Yes,Yes,High,Yes,High
STU0092,Female,12.8,56.6,No,No,Medium,No,Medium
STU0093,Female,6.3,78.4,Yes,No,High,No,Medium
STU0094,Female,4.6,84.5,Yes,No,Low,No,Medium
STU0095,Female,9.8,90.0,Yes,Yes,Medium,No,High
STU0096,Female,7.7,60.0,Yes,No,Low,No,Medium
STU0097,Female,12.1,58.4,Yes,Yes,High,Yes,High
