has_free,has_win,has_offer,has_click,has_money,Spam
0,1,0,1,1,1
1,0,1,1,0,1
0,0,1,1,0,0
0,0,1,1,0,0
0,0,1,0,1,0
1,0,0,0,1,0
0,1,1,1,1,1
0,0,0,0,1,0
0,1,0,1,1,1
1,1,0,0,1,1
0,0,0,1,1,0
0,0,0,1,0,0
0,1,1,0,1,1
0,0,1,0,0,0
1,0,1,1,0,1
0,1,1,1,1,1
1,1,0,0,1,1
1,0,1,0,0,0
1,1,0,1,0,1
0,0,1,0,1,0
1,0,0,1,1,1
0,0,0,1,0,0
1,1,1,1,1,1
1,1,0,1,1,1
1,1,0,0,1,1
1,1,1,0,0,1
1,1,0,0,0,0
1,0,1,0,0,0
1,0,1,0,1,1
1,0,1,0,1,1
0,0,0,0,0,0
0,1,0,1,0,0
1,0,0,0,0,0
1,1,1,0,1,1
1,0,0,1,0,0
0,1,1,0,0,0
1,1,1,0,1,1
0,0,0,1,1,0
0,0,1,0,1,0
0,0,0,0,0,0
0,0,0,0,1,0
0,1,0,1,1,1
1,0,0,0,0,0
1,0,0,0,1,0
1,1,1,1,0,1
1,0,1,0,0,0
1,0,1,1,1,1
0,0,0,1,1,0
1,0,0,0,1,0
1,0,0,1,1,1
0,1,1,1,1,1
1,0,0,0,1,0
0,0,1,1,0,0
1,0,1,1,0,1
0,0,0,0,1,0
1,0,0,0,0,0
1,1,1,0,1,1
0,0,0,1,0,0
0,1,1,0,0,0
0,1,0,1,0,0
0,0,0,1,1,0
0,0,1,1,0,0
0,0,0,1,1,0
0,0,1,1,0,0
0,1,0,1,0,0
1,0,1,1,0,1
1,0,1,0,0,0
0,0,0,0,0,0
1,0,1,1,1,1
1,0,0,1,1,1
1,0,0,0,0,0
1,1,0,1,0,1
0,1,1,0,0,0
1,0,1,0,0,0
0,0,0,0,1,0
1,0,0,1,0,0
1,1,1,1,1,1
1,0,0,0,0,0
0,1,0,0,1,0
1,0,1,0,0,0
0,0,0,0,0,0
1,0,1,0,1,1
0,0,0,1,0,0
1,1,1,0,0,1
0,1,0,1,0,0
0,0,0,0,1,0
1,0,1,1,0,1
0,1,0,1,0,0
1,1,1,1,1,1
1,1,0,1,1,1
1,1,1,1,1,1
1,0,1,1,0,1
1,1,1,0,0,1
1,0,1,1,0,1
1,1,0,0,1,1
1,1,0,1,0,1
1,1,1,1,0,1
1,1,1,0,1,1
1,1,1,1,1,1
0,0,0,0,1,0
0,0,0,0,1,0
1,1,0,0,1,1
1,1,0,0,0,0
1,0,1,1,1,1
1,1,1,1,0,1
1,1,1,0,0,1
1,0,0,1,1,1
1,1,0,1,1,1
1,1,0,0,1,1
0,0,1,1,0,0
1,0,1,0,1,1
0,0,0,0,1,0
1,1,1,1,1,1
1,0,0,1,1,1
0,0,0,1,1,0
1,0,1,0,0,0
0,0,0,0,0,0
1,0,1,1,0,1
1,0,0,1,1,1
0,1,1,1,1,1
1,1,1,1,1,1
0,0,1,0,0,0
1,0,0,1,1,1
0,0,0,0,1,0
0,1,1,0,1,1
1,1,1,1,0,1
1,1,0,1,1,1
0,1,0,1,0,0
1,1,0,0,1,1
1,1,1,1,0,1
1,1,0,1,0,1
0,1,0,0,0,0
0,1,1,1,1,1
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,1,1,1,1
0,1,1,1,1,1
0,1,1,0,0,0
0,0,1,0,1,0
1,1,1,1,1,1
0,0,1,0,1,0
1,1,1,0,1,1
1,0,0,0,0,0
1,1,0,0,1,1
0,1,1,1,1,1
0,0,0,1,0,0
0,1,0,0,0,0
0,0,1,0,1,0
1,0,0,0,1,0
0,0,0,0,1,0
0,0,0,1,1,0
0,1,0,1,0,0
0,1,0,0,0,0
0,1,1,0,0,0
1,0,1,0,1,1
0,1,1,1,1,1
1,0,0,0,1,0
0,1,1,1,1,1
1,1,0,0,0,0
0,1,0,1,0,0
0,0,0,0,1,0
1,1,0,1,0,1
1,1,1,0,1,1
1,0,1,0,1,1
0,1,0,0,0,0
1,0,1,1,1,1
0,1,0,0,1,0
0,0,1,1,0,0
1,0,1,1,1,1
1,1,0,0,1,1
0,0,1,0,0,0
0,0,0,0,1,0
1,0,1,1,0,1
1,0,0,0,1,0
1,0,0,1,0,0
0,0,1,1,0,0
0,1,1,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,1,1,0,0,0
0,1,0,0,0,0
1,1,0,0,0,0
0,1,1,1,0,1
0,1,0,1,1,1
0,1,0,1,1,1
1,1,0,0,1,1
0,0,1,1,1,1
0,0,1,1,1,1
1,1,0,1,1,1
0,0,1,1,1,1
0,0,0,1,0,0
0,0,1,0,1,0
0,1,0,0,0,0
0,1,0,1,0,0
1,0,1,1,1,1
1,1,0,1,0,1
1,0,1,0,0,0
0,0,1,0,0,0
0,0,0,1,0,0
0,0,0,0,1,0
1,1,1,0,1,1
0,1,0,1,1,1
0,1,0,0,1,0
1,0,0,0,1,0
0,1,0,1,1,1
1,0,0,0,1,0
1,1,1,0,1,1
1,0,1,1,1,1
0,0,0,0,1,0
0,0,0,0,0,0
0,1,0,1,1,1
0,1,1,1,0,1
0,1,0,1,0,0
0,1,1,0,0,0
0,0,1,1,0,0
1,1,1,0,1,1
0,1,0,1,0,0
1,0,1,0,1,1
0,0,0,1,1,0
0,0,1,1,0,0
0,1,0,1,1,1
1,0,1,1,0,1
1,0,0,0,0,0
1,0,1,1,1,1
1,1,0,1,1,1
0,0,0,0,0,0
1,1,0,1,1,1
0,1,0,0,1,0
0,0,1,1,1,1
1,0,1,1,0,1
1,1,0,1,0,1
1,0,1,0,1,1
1,0,0,1,1,1
1,1,0,1,1,1
1,1,1,1,1,1
1,0,0,0,1,0
1,1,0,0,0,0
0,0,1,1,1,1
1,0,0,0,0,0
1,0,0,1,1,1
0,1,0,1,0,0
1,0,0,1,1,1
0,0,1,1,0,0
0,0,1,1,1,1
1,1,1,1,0,1
0,1,0,1,0,0
0,1,0,0,0,0
0,1,1,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,1,0,0,1,0
1,1,0,0,0,0
0,1,1,0,1,1
0,0,1,1,1,1
0,1,1,1,1,1
0,1,0,1,1,1
1,0,1,1,1,1
1,1,1,0,0,1
0,0,0,0,0,0
0,0,0,1,0,0
1,0,1,1,1,1
0,0,1,0,0,0
0,0,1,1,0,0
0,1,1,1,0,1
1,0,0,1,0,0
1,0,1,1,0,1
1,1,1,0,1,1
0,0,0,1,0,0
0,1,1,1,1,1
1,1,0,0,1,1
1,1,0,0,1,1
1,0,0,1,1,1
1,0,1,0,1,1
0,0,1,1,0,0
1,1,0,1,0,1
0,0,1,0,0,0
1,0,1,1,1,1
0,0,0,1,0,0
1,1,0,1,0,1
1,1,1,1,1,1
1,0,0,0,1,0
1,0,1,0,1,1
0,0,1,1,1,1
1,0,1,0,0,0
0,1,1,1,1,1
0,1,0,1,1,1
0,1,0,1,0,0
0,1,0,1,0,0
1,0,0,1,1,1
0,0,1,0,0,0
0,0,1,1,1,1
0,1,0,0,1,0
1,0,1,0,0,0
1,1,1,1,0,1
1,1,1,1,1,1
1,0,0,1,1,1
0,0,0,1,1,0
0,0,0,1,0,0
1,1,1,0,1,1
0,0,0,1,1,0
0,1,0,1,1,1
0,0,0,0,1,0
1,1,0,0,1,1
1,1,0,1,0,1
0,0,0,0,1,0
1,1,1,1,1,1
1,1,1,0,1,1
1,0,0,0,1,0
1,1,0,1,0,1
1,0,1,0,0,0
0,1,1,0,0,0
1,0,0,0,1,0
0,0,0,0,1,0
