Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Term,Credit_History,Gender,Married,Education,Self_Employed,Property_Area,Loan_Status
21966,14877,549,84,0,Female,Yes,Not Graduate,Yes,Semiurban,0
17725,2777,559,12,1,Male,No,Graduate,Yes,Urban,0
19730,12298,216,84,1,Male,Yes,Not Graduate,No,Semiurban,1
23602,3003,523,84,1,Male,Yes,Graduate,Yes,Urban,0
17377,3871,413,36,1,Female,Yes,Graduate,Yes,Urban,0
9763,12033,178,240,1,Female,No,Graduate,No,Urban,1
15435,11657,135,36,1,Female,Yes,Not Graduate,No,Urban,1
24241,2171,648,12,1,Female,Yes,Not Graduate,No,Rural,0
2096,1197,522,300,1,Female,No,Graduate,No,Urban,0
24641,9333,430,84,0,Male,Yes,Not Graduate,Yes,Semiurban,0
22527,7222,115,36,1,Female,No,Not Graduate,Yes,Rural,1
22553,12730,235,240,1,Female,Yes,Graduate,No,Urban,1
7664,12573,195,36,1,Male,No,Graduate,No,Urban,1
2942,9908,620,120,1,Female,No,Graduate,Yes,Semiurban,0
24752,14168,568,180,1,Male,Yes,Not Graduate,No,Semiurban,0
2111,8980,219,180,0,Male,No,Graduate,Yes,Rural,0
5481,4945,243,36,1,Female,No,Not Graduate,Yes,Semiurban,1
19747,5907,404,12,0,Female,Yes,Graduate,Yes,Rural,0
4894,5106,492,36,1,Male,Yes,Graduate,Yes,Semiurban,0
5325,11495,481,360,1,Male,Yes,Graduate,No,Semiurban,0
16944,1487,126,180,0,Male,No,Not Graduate,Yes,Rural,0
19476,11632,373,84,0,Male,Yes,Graduate,No,Rural,0
9985,1190,200,120,0,Male,Yes,Graduate,No,Urban,0
20231,6946,676,36,0,Male,No,Graduate,Yes,Rural,0
14739,10780,195,240,1,Female,Yes,Graduate,Yes,Rural,1
8484,11629,174,60,1,Female,Yes,Not Graduate,No,Semiurban,1
18423,8759,382,36,1,Male,No,Graduate,Yes,Urban,1
19730,7133,313,12,1,Male,Yes,Graduate,Yes,Semiurban,1
8648,7539,119,240,0,Female,No,Graduate,No,Semiurban,0
24461,5046,73,180,0,Male,Yes,Graduate,Yes,Rural,0
19543,6068,429,60,0,Male,No,Graduate,No,Urban,0
6195,2223,325,300,1,Female,Yes,Not Graduate,No,Rural,1
4428,6070,190,240,0,Female,Yes,Not Graduate,No,Rural,0
10028,1311,167,84,1,Female,Yes,Graduate,Yes,Semiurban,1
5252,12089,235,240,0,Female,Yes,Graduate,No,Rural,0
19766,9549,211,300,1,Female,No,Not Graduate,Yes,Semiurban,1
22693,13529,566,240,0,Female,No,Graduate,No,Urban,0
13894,1348,513,36,0,Male,No,Not Graduate,No,Urban,0
4338,8219,475,60,1,Male,Yes,Not Graduate,No,Urban,0
24497,11079,155,180,0,Female,No,Not Graduate,Yes,Urban,0
18972,14956,208,36,0,Female,No,Not Graduate,Yes,Urban,0
11896,12015,656,12,0,Male,No,Not Graduate,Yes,Rural,0
22355,480,168,60,0,Female,No,Graduate,No,Rural,0
14394,5859,265,60,0,Male,No,Not Graduate,No,Semiurban,0
19221,5947,448,120,1,Male,Yes,Not Graduate,Yes,Urban,0
