UserID,Session_Time_Min,Pages_Visited,Clicks,Bounce_Rate,Items_Added_To_Cart,Purchase_Amount
1,110,34,170,48.02,11,4696.93
2,127,21,28,28.83,6,488.71
3,67,48,101,55.14,6,857.2
4,99,33,106,55.4,2,1510.72
5,18,39,43,16.65,0,3832.19
6,84,40,89,60.63,10,2359.44
7,107,7,18,17.76,6,1840.94
8,124,15,67,12.23,11,1906.7
9,58,9,98,78.41,13,2540.34
10,97,30,141,29.88,0,1624.56
11,114,44,159,47.21,7,3408.65
12,127,17,99,85.04,4,125.66
13,48,38,115,60.03,11,2989.01
14,74,41,114,39.81,12,1802.26
15,33,39,157,78.15,4,2394.5
16,175,48,143,27.17,6,3765.02
17,112,21,30,49.06,14,177.45
18,154,3,13,55.26,2,1082.87
19,84,37,172,56.87,7,2557.22
20,79,17,12,11.4,1,3086.38
21,165,17,6,40.16,5,925.73
22,97,11,7,51.19,3,975.33
23,69,10,30,46.63,4,3119.02
24,50,1,160,75.76,12,3618.84
25,56,10,129,67.84,8,2249.54
26,3,25,91,84.57,12,2229.55
27,85,16,49,27.9,9,2000.83
28,40,38,172,22.5,11,1262.23
29,67,32,12,26.26,4,4927.95
30,85,25,57,62.51,7,3129.33
31,48,13,167,30.13,8,1781.3
32,177,43,198,63.17,7,1279.06
33,136,16,63,64.67,5,1256.99
34,106,41,167,16.51,5,1587.26
35,100,20,24,69.2,8,2773.45
36,125,28,120,35.12,7,2908.38
37,93,8,4,27.69,2,3308.56
38,103,31,196,30.7,11,118.64
39,98,28,168,81.7,4,2884.1
40,119,29,132,58.41,5,2907.34
41,95,42,91,61.98,7,4596.33
42,156,34,153,27.37,4,1157.73
43,35,37,164,38.8,11,216.53
44,77,42,42,74.84,6,4728.71
45,169,20,62,37.21,7,2816.68
46,132,5,102,75.01,7,520.14
47,107,27,38,26.0,5,1630.89
48,70,37,186,68.59,1,1957.48
49,65,37,132,19.34,3,3839.88
50,76,31,143,75.79,5,1321.61
51,163,33,116,63.82,14,4748.59
52,59,48,36,86.59,7,2861.77
53,139,32,57,12.36,2,476.08
54,23,17,193,20.55,10,2537.66
55,147,43,92,12.18,10,2918.73
56,16,23,5,11.34,10,4793.75
57,156,48,141,77.68,4,4560.58
58,159,45,108,60.51,2,4702.92
59,71,41,69,61.5,0,3235.09
60,110,37,146,40.09,11,3213.89
61,116,17,161,14.26,12,3423.13
62,155,48,194,44.49,10,244.89
63,135,18,23,22.59,12,1321.98
64,15,14,3,84.77,0,1273.26
65,104,16,81,80.28,12,3905.81
66,130,24,158,34.07,11,852.86
67,44,39,191,11.39,11,3718.85
68,102,3,74,11.67,0,2089.71
69,26,13,73,52.31,9,1354.68
70,179,39,158,75.85,7,4519.32
71,57,21,110,37.39,6,1510.78
72,50,19,127,62.6,2,3867.27
73,13,16,50,78.64,13,3791.39
74,19,28,198,60.9,5,1882.37
75,2,5,166,10.49,9,1629.59
76,52,8,160,54.09,0,17.56
77,173,15,85,23.99,5,2315.4
78,118,9,154,74.01,0,888.17
79,49,18,20,42.99,4,54.46
80,57,20,35,45.14,4,3078.98
81,178,36,112,34.31,1,627.83
82,87,45,95,28.36,4,1531.23
83,4,44,131,22.8,3,3572.0
84,68,26,109,42.61,9,3725.19
85,140,2,83,53.01,12,4759.88
86,150,38,70,82.08,3,4540.59
87,104,6,195,42.16,6,2575.71
88,99,3,95,35.74,7,4727.6
89,4,21,94,75.45,6,1711.58
90,140,23,105,65.7,10,2752.67
91,4,26,178,19.18,1,2721.11
92,7,49,120,66.59,5,111.36
93,10,22,30,86.1,11,176.97
94,88,20,196,49.78,1,1190.31
95,15,45,188,49.25,14,4656.46
96,122,30,83,67.89,1,4521.38
97,141,32,14,25.99,3,3182.93
98,28,48,66,39.36,14,332.8
99,39,2,128,35.35,0,4762.63
100,146,48,75,89.67,2,330.37
101,111,40,93,22.93,14,2528.48
102,75,39,101,23.92,0,3102.3
103,100,38,125,46.87,11,3548.62
104,117,30,48,31.94,4,4627.57
105,100,32,106,79.65,14,1718.04
106,48,27,128,44.92,9,1870.44
107,17,12,92,64.79,1,2717.36
108,134,46,21,75.46,5,1247.09
109,105,23,84,31.76,11,2739.64
110,110,15,39,68.62,5,1739.78
111,87,35,63,41.93,3,4646.49
112,47,41,98,30.36,11,1539.93
113,16,43,167,81.21,3,3169.95
114,60,3,173,55.2,9,1927.54
115,41,15,8,49.71,2,4929.49
116,154,5,60,24.45,11,4458.86
117,46,28,69,82.13,8,1590.09
118,178,40,103,61.03,6,28.2
119,1,10,119,85.81,11,1481.1
120,164,46,24,13.55,1,2468.21
121,158,22,22,19.33,11,1681.58
122,130,3,103,80.19,10,3292.86
123,69,39,62,46.14,1,1658.28
124,159,38,100,47.36,4,1641.22
125,136,36,52,27.86,13,4479.52
126,94,44,20,49.07,9,1453.89
127,61,2,38,45.08,14,2960.78
128,66,25,143,67.67,13,2602.0
129,117,38,1,60.84,8,1294.64
130,68,30,185,73.92,14,749.01
131,45,6,129,72.65,6,1771.34
132,52,15,4,43.72,12,1594.1
133,136,21,119,34.12,8,1797.88
134,89,20,178,36.14,4,4063.98
135,142,13,30,89.2,8,2667.95
136,157,11,17,42.74,7,4869.1
137,109,4,135,70.44,2,1511.51
138,64,34,27,16.62,4,1240.42
139,85,14,169,44.37,12,219.43
140,165,38,151,36.31,4,4313.72
141,120,12,176,22.82,0,2389.45
142,122,14,158,11.91,5,1478.68
143,169,14,190,30.16,7,139.6
144,117,25,124,73.47,5,3114.52
145,59,19,193,33.8,12,1492.12
146,78,18,154,79.84,13,3255.88
147,9,49,108,56.31,14,559.85
148,135,12,175,74.38,4,2589.87
149,66,3,82,89.95,5,684.86
150,41,37,93,61.25,8,3270.65
151,120,9,189,37.27,10,3681.82
152,77,29,83,34.8,9,4006.7
153,154,28,73,87.82,4,3966.37
154,124,22,137,67.17,6,4389.26
155,136,1,148,50.2,0,4308.65
156,14,12,74,27.13,7,4050.68
157,173,4,170,49.19,3,1247.38
158,2,24,156,70.97,2,4377.73
