CustomerID,Age,Annual_Income,SpendingScore,Online_Time(hrs/week),Purchases_per_Month
CUST10000,56,85545,93,56,39
CUST10001,69,104791,86,45,35
CUST10002,46,78141,25,42,1
CUST10003,32,43793,13,47,24
CUST10004,60,76570,82,59,36
CUST10005,25,115084,33,13,6
CUST10006,38,57892,16,55,31
CUST10007,56,21015,42,22,20
CUST10008,36,81813,66,54,24
CUST10009,40,47712,55,21,25
CUST10010,28,28415,99,22,36
CUST10011,28,82292,42,28,21
CUST10012,41,43833,34,9,30
CUST10013,53,24158,30,26,24
CUST10014,57,82680,13,9,30
CUST10015,41,40309,13,15,22
CUST10016,20,26970,18,10,28
CUST10017,39,92474,32,24,7
CUST10018,19,106704,96,58,35
CUST10019,41,66540,99,57,28
CUST10020,61,40384,39,42,14
CUST10021,47,38017,46,8,10
CUST10022,55,95880,29,24,16
CUST10023,19,28702,62,16,16
CUST10024,38,20384,93,49,31
CUST10025,50,20404,62,26,25
CUST10026,29,60943,57,27,13
CUST10027,39,67926,16,37,6
CUST10028,61,49189,56,4,9
CUST10029,42,32763,10,50,36
CUST10030,66,38384,30,24,20
CUST10031,44,80100,25,19,18
CUST10032,59,118142,84,36,21
CUST10033,45,29860,5,39,4
CUST10034,33,100642,65,10,33
CUST10035,32,70612,94,25,27
CUST10036,64,43574,49,18,7
CUST10037,68,43524,3,19,6
CUST10038,61,89172,45,36,15
CUST10039,69,30916,14,10,18
CUST10040,20,24809,30,33,32
CUST10041,54,52201,68,55,11
CUST10042,68,73330,18,50,20
CUST10043,24,33456,62,5,24
CUST10044,38,76397,37,47,15
CUST10045,26,58765,25,49,7
CUST10046,56,54816,48,35,21
CUST10047,35,65106,65,44,26
CUST10048,21,73932,53,34,14
CUST10049,42,37100,79,33,37
CUST10050,31,77091,73,55,21
CUST10051,67,41949,15,21,18
CUST10052,26,90080,49,17,5
CUST10053,43,57744,88,22,3
CUST10054,19,65543,68,48,23
CUST10055,37,112193,12,37,26
CUST10056,45,56187,59,15,37
CUST10057,64,27239,37,35,24
CUST10058,24,34489,61,28,19
CUST10059,61,78017,43,7,25
CUST10060,25,81877,70,32,21
CUST10061,64,63125,39,11,12
CUST10062,52,69922,56,10,33
CUST10063,31,114074,63,9,4
CUST10064,34,52049,46,14,7
CUST10065,53,57131,88,13,22
CUST10066,67,62944,11,57,33
CUST10067,57,93963,62,25,17
CUST10068,21,44285,77,2,24
CUST10069,19,57626,98,35,34
CUST10070,23,62808,25,7,28
CUST10071,59,108464,71,21,39
CUST10072,21,73871,52,18,22
CUST10073,46,39198,4,3,17
CUST10074,35,39758,59,42,34
CUST10075,43,35254,72,54,6
CUST10076,61,64238,20,39,6
CUST10077,51,21252,93,41,34
CUST10078,27,59764,63,49,1
CUST10079,53,97709,54,11,10
CUST10080,31,57441,74,39,21
CUST10081,48,112234,98,24,5
CUST10082,65,73682,57,46,2
CUST10083,32,79494,90,19,22
CUST10084,25,101317,41,4,2
CUST10085,31,85215,3,26,10
CUST10086,40,98587,6,38,34
CUST10087,57,26949,5,42,16
CUST10088,38,75393,5,32,39
CUST10089,33,93553,54,39,22
CUST10090,62,26941,47,45,12
CUST10091,35,45934,87,46,24
CUST10092,64,43386,49,36,38
CUST10093,41,81886,9,40,10
CUST10094,43,95745,99,37,35
CUST10095,42,103251,20,33,32
CUST10096,62,114456,61,36,7
CUST10097,58,73413,35,3,21
CUST10098,46,76800,50,9,20
CUST10099,32,117239,82,8,26
CUST10100,62,62318,62,33,4
CUST10101,18,90173,17,59,22
CUST10102,42,90390,88,6,15
CUST10103,24,72329,3,41,21
CUST10104,26,63088,32,39,15
CUST10105,41,59811,99,4,22
CUST10106,18,75479,13,13,28
CUST10107,61,105392,89,49,14
CUST10108,25,107369,73,2,27
CUST10109,41,39963,68,5,28
CUST10110,28,75123,14,44,26
CUST10111,68,112705,98,27,2
CUST10112,34,93477,11,32,25
CUST10113,25,34388,56,21,3
CUST10114,52,25569,67,8,8
CUST10115,52,89836,92,38,33
CUST10116,50,56586,29,8,35
CUST10117,22,32015,9,50,6
CUST10118,59,65002,67,3,39
CUST10119,56,26254,25,54,23
CUST10120,58,37144,98,44,25
CUST10121,45,44214,76,58,19
CUST10122,24,100719,42,3,5
CUST10123,26,91774,9,22,11
CUST10124,25,26090,79,6,12
CUST10125,29,31637,40,2,10
CUST10126,51,42415,25,23,8
CUST10127,50,44071,5,44,24
CUST10128,65,78243,11,2,28
CUST10129,40,61240,59,38,36
CUST10130,41,103807,98,17,37
CUST10131,54,53434,88,35,21
CUST10132,52,89724,79,34,8
CUST10133,61,95697,38,23,9
CUST10134,57,48732,72,30,15
CUST10135,39,31314,5,52,18
CUST10136,44,43954,48,8,20
CUST10137,52,77108,90,22,6
CUST10138,18,107044,18,44,12
CUST10139,52,107505,70,58,2
CUST10140,54,56668,37,36,7
CUST10141,64,43061,60,5,16
CUST10142,31,99252,48,13,3
CUST10143,20,59749,77,29,3
CUST10144,18,36907,28,31,27
CUST10145,22,38777,69,47,38
CUST10146,43,113229,77,57,33
CUST10147,31,71745,81,55,28
CUST10148,56,111865,40,16,1
CUST10149,44,101818,45,42,8
CUST10150,26,43624,96,30,37
CUST10151,32,43321,62,57,32
CUST10152,32,30488,93,55,37
CUST10153,43,42574,58,16,4
CUST10154,59,25240,67,12,30
CUST10155,30,63221,56,17,6
CUST10156,68,30478,40,16,19
CUST10157,49,75645,98,12,32
CUST10158,56,39262,40,8,9
CUST10159,66,72796,91,20,12
CUST10160,69,24432,77,3,11
CUST10161,49,115257,33,16,16
CUST10162,21,84291,6,30,1
CUST10163,47,99104,88,45,21
CUST10164,54,79399,19,23,30
CUST10165,40,99714,80,28,13
CUST10166,56,70428,40,51,34
CUST10167,62,107731,92,40,4
CUST10168,32,20302,97,54,28
CUST10169,60,102558,59,5,38
CUST10170,46,20055,59,20,31
CUST10171,53,28717,48,40,27
CUST10172,30,48699,41,56,5
CUST10173,49,93686,13,44,25
CUST10174,24,87661,45,1,3
CUST10175,68,64247,89,57,33
CUST10176,39,36748,53,30,4
CUST10177,45,24621,42,21,25
CUST10178,19,35034,63,20,20
CUST10179,59,25126,27,6,34
CUST10180,62,25122,38,22,26
CUST10181,23,38030,60,18,5
CUST10182,45,102838,7,8,35
CUST10183,45,104717,5,39,28
CUST10184,61,75658,45,32,29
CUST10185,61,58638,58,33,9
CUST10186,37,87067,31,53,38
CUST10187,47,108869,23,16,6
CUST10188,28,54674,42,12,19
CUST10189,45,55854,10,38,11
CUST10190,42,66271,32,52,2
CUST10191,56,93688,53,34,9
CUST10192,50,58518,30,14,21
CUST10193,18,30267,39,36,24
CUST10194,44,110825,31,33,34
CUST10195,69,21062,82,23,22
CUST10196,30,70448,2,50,3
CUST10197,58,115462,78,45,12
CUST10198,20,26229,77,2,28
CUST10199,56,76793,93,41,30
CUST10200,23,67915,12,21,26
CUST10201,25,24632,39,2,21
CUST10202,44,23596,66,27,28
CUST10203,26,26168,96,57,26
CUST10204,54,27561,13,9,33
CUST10205,50,93794,46,1,21
CUST10206,68,102152,27,11,35
CUST10207,59,46734,17,3,34
CUST10208,61,26371,95,52,18
CUST10209,41,46069,98,23,11
CUST10210,32,99905,60,26,23
CUST10211,49,32910,64,4,22
CUST10212,49,93479,88,18,17
CUST10213,41,97735,35,55,5
CUST10214,58,101264,70,6,11
CUST10215,69,43275,83,35,30
CUST10216,66,92274,30,22,15
CUST10217,66,101449,71,43,27
CUST10218,69,80004,74,15,35
CUST10219,29,82981,96,22,33
CUST10220,56,104659,98,37,20
CUST10221,19,74553,63,52,16
CUST10222,20,68447,28,42,34
CUST10223,66,54529,60,12,2
CUST10224,54,95703,79,47,35
CUST10225,66,96090,94,49,28
CUST10226,34,37260,37,42,39
CUST10227,66,23812,93,38,6
CUST10228,19,48024,22,18,9
CUST10229,19,78656,68,45,20
CUST10230,45,47285,20,35,1
CUST10231,40,112436,96,30,8
CUST10232,54,21605,68,24,23
CUST10233,49,91158,91,42,3
CUST10234,50,92303,64,30,4
CUST10235,18,47139,17,14,25
CUST10236,36,97149,12,6,38
CUST10237,19,76138,22,3,15
CUST10238,61,96125,17,16,21
CUST10239,43,33918,10,7,35
CUST10240,49,105655,65,52,14
CUST10241,23,47446,22,14,36
CUST10242,49,33046,90,9,12
CUST10243,21,44818,82,15,17
CUST10244,28,24324,50,21,39
CUST10245,34,96323,14,35,9
CUST10246,55,29111,64,2,35
CUST10247,41,58110,47,27,13
CUST10248,22,36389,29,2,15
CUST10249,69,61427,76,35,18
CUST10250,51,99579,36,18,33
CUST10251,23,48746,99,14,6
CUST10252,39,107886,52,20,27
CUST10253,28,20117,76,18,23
CUST10254,65,104471,7,10,27
CUST10255,33,33234,29,25,34
CUST10256,50,73441,11,2,38
CUST10257,26,20846,33,25,14
CUST10258,23,30954,6,54,36
CUST10259,33,99239,79,33,8
CUST10260,46,66514,32,36,35
CUST10261,20,108236,51,31,19
CUST10262,37,117579,75,14,30
CUST10263,53,26469,58,1,14
CUST10264,36,50105,87,46,20
CUST10265,43,62101,26,16,25
CUST10266,20,84323,98,54,24
CUST10267,36,111922,46,46,14
CUST10268,37,78067,98,52,26
CUST10269,49,69376,29,3,38
CUST10270,24,65587,4,35,23
CUST10271,69,56976,81,41,22
CUST10272,58,87584,99,6,19
CUST10273,50,98477,13,25,3
CUST10274,57,62533,39,13,19
CUST10275,56,21828,15,53,9
CUST10276,35,21917,29,34,28
CUST10277,57,40618,29,8,20
CUST10278,18,52254,75,21,7
CUST10279,28,67362,32,34,14
CUST10280,45,40128,2,4,9
CUST10281,42,79383,47,25,19
CUST10282,67,85545,78,15,14
CUST10283,40,102180,84,4,38
CUST10284,48,107958,22,45,36
CUST10285,47,29865,75,12,17
CUST10286,59,22219,27,32,30
CUST10287,52,59809,67,32,9
CUST10288,24,25287,81,28,33
CUST10289,33,54387,56,13,25
CUST10290,43,28512,92,31,14
CUST10291,65,21342,93,14,11
CUST10292,69,83076,21,20,35
CUST10293,66,39216,47,18,14
CUST10294,19,113070,80,29,30
CUST10295,18,99767,59,6,4
CUST10296,65,117829,84,32,4
CUST10297,29,46614,6,29,28
CUST10298,22,56258,19,43,8
CUST10299,54,113789,57,2,2
CUST10300,49,62078,69,23,22
CUST10301,26,103524,3,19,16
CUST10302,58,116573,1,31,29
CUST10303,52,32219,58,51,30
CUST10304,36,20235,38,5,12
CUST10305,65,62929,15,19,35
CUST10306,33,87444,34,34,11
CUST10307,20,28567,61,10,21
CUST10308,37,90792,35,25,21
CUST10309,41,85441,64,2,5
CUST10310,50,104555,25,11,20
CUST10311,41,93698,24,50,37
CUST10312,69,25415,12,31,3
CUST10313,28,56159,18,56,33
CUST10314,66,63925,15,15,9
CUST10315,25,25951,80,9,9
CUST10316,53,107388,27,23,4
CUST10317,55,28007,72,19,35
CUST10318,57,61832,60,9,17
CUST10319,37,78596,46,35,34
CUST10320,52,50523,89,21,24
CUST10321,65,108861,17,9,32
CUST10322,42,106740,93,28,1
CUST10323,52,35524,53,46,8
CUST10324,42,39282,8,51,23
CUST10325,46,43930,79,7,12
CUST10326,35,20077,27,16,12
CUST10327,63,40611,46,16,15
CUST10328,35,36984,50,33,19
CUST10329,19,34060,71,4,26
CUST10330,52,102985,3,4,29
CUST10331,33,104056,93,39,22
CUST10332,58,63303,64,40,21
CUST10333,53,79207,44,17,38
CUST10334,50,95046,53,37,20
CUST10335,21,49287,24,39,29
CUST10336,50,113709,60,52,4
CUST10337,31,59711,3,29,7
CUST10338,38,31954,20,52,28
CUST10339,65,93340,46,36,28
CUST10340,37,92101,15,38,4
CUST10341,25,91520,25,39,22
CUST10342,24,107062,94,50,12
CUST10343,20,38574,78,37,3
CUST10344,34,29184,71,52,22
CUST10345,50,39096,17,35,2
CUST10346,65,87728,84,7,24
CUST10347,29,54016,9,27,34
CUST10348,68,31246,38,28,27
CUST10349,39,65558,48,22,1
CUST10350,39,38381,60,14,8
CUST10351,63,56455,63,7,23
CUST10352,47,112263,86,37,38
CUST10353,55,24018,2,22,6
CUST10354,55,31302,88,5,22
CUST10355,62,87506,72,55,25
CUST10356,68,61157,11,2,18
CUST10357,25,74917,64,27,17
CUST10358,44,112738,77,21,12
CUST10359,44,116646,81,54,6
CUST10360,51,103122,72,38,26
CUST10361,38,44519,21,15,27
CUST10362,47,116809,18,21,8
CUST10363,50,107487,94,10,19
CUST10364,45,76819,64,23,1
CUST10365,64,100910,82,58,29
CUST10366,50,91324,95,56,35
CUST10367,22,25408,38,39,14
CUST10368,65,79379,32,5,35
CUST10369,36,45053,11,1,20
CUST10370,21,29446,45,13,13
CUST10371,52,20922,89,21,38
CUST10372,66,118723,33,26,8
CUST10373,34,71356,41,50,20
CUST10374,61,30789,8,45,33
CUST10375,45,117720,11,21,26
CUST10376,47,86656,86,53,39
CUST10377,46,64028,51,18,21
CUST10378,63,84484,88,37,9
CUST10379,23,52154,41,45,24
CUST10380,52,102870,17,32,37
CUST10381,58,22336,76,36,17
CUST10382,54,87779,46,17,24
CUST10383,41,39029,32,35,21
CUST10384,46,79201,79,49,39
CUST10385,66,52265,80,11,39
CUST10386,63,63872,54,21,13
CUST10387,48,66197,86,52,11
CUST10388,52,75180,92,55,19
CUST10389,50,43710,20,53,11
CUST10390,69,49486,33,26,13
CUST10391,38,91907,74,4,1
CUST10392,49,91895,40,34,19
CUST10393,40,84435,32,52,12
CUST10394,50,60631,97,48,8
CUST10395,20,40103,2,18,8
CUST10396,35,84772,97,40,12
CUST10397,42,34382,33,35,33
CUST10398,59,104291,77,41,26
CUST10399,48,23756,30,29,39
CUST10400,20,40609,33,52,28
CUST10401,57,36478,77,29,5
CUST10402,63,59666,26,38,8
CUST10403,41,95683,22,42,25
CUST10404,67,119097,66,21,27
CUST10405,49,91315,38,42,23
CUST10406,64,97834,90,13,30
CUST10407,39,34153,46,49,23
CUST10408,40,96325,15,41,20
CUST10409,19,32999,98,17,18
CUST10410,44,75318,44,56,18
CUST10411,59,20814,49,9,2
CUST10412,19,96077,75,41,4
CUST10413,43,110474,61,1,30
CUST10414,34,22443,67,2,33
CUST10415,57,95993,6,48,36
CUST10416,50,95916,9,29,18
CUST10417,26,93319,6,33,37
CUST10418,60,37368,73,10,19
CUST10419,65,35328,95,50,28
CUST10420,56,76942,32,58,20
CUST10421,46,111751,41,40,33
CUST10422,59,119131,76,21,12
CUST10423,43,47306,8,28,15
CUST10424,52,105451,72,11,39
CUST10425,67,59915,50,55,2
CUST10426,42,57219,92,34,29
CUST10427,41,100879,62,8,10
CUST10428,30,84644,84,59,2
CUST10429,24,80279,62,22,11
CUST10430,53,73028,7,8,13
CUST10431,62,20126,75,49,10
CUST10432,37,72329,84,15,14
CUST10433,18,47632,80,17,18
CUST10434,25,85310,4,23,9
CUST10435,63,75176,6,24,39
CUST10436,33,106066,58,45,28
CUST10437,31,64327,22,19,3
CUST10438,29,88904,26,5,20
CUST10439,68,23797,3,32,6
CUST10440,40,67882,41,44,27
CUST10441,32,33718,60,1,2
CUST10442,45,54560,14,23,29
CUST10443,51,96589,75,37,38
CUST10444,19,42116,82,8,3
CUST10445,49,56244,12,13,16
CUST10446,40,21645,87,8,30
CUST10447,39,67523,12,57,2
CUST10448,68,39256,13,23,17
CUST10449,42,73173,25,43,12
CUST10450,39,57430,45,1,35
CUST10451,39,59282,19,45,1
CUST10452,66,83374,55,51,15
CUST10453,69,88244,45,24,26
CUST10454,59,31694,8,35,37
CUST10455,23,76264,93,24,21
CUST10456,32,95060,53,17,31
CUST10457,60,117416,55,5,25
CUST10458,54,77545,32,20,23
CUST10459,50,59224,51,21,24
CUST10460,25,117945,44,40,38
CUST10461,61,33224,82,58,28
CUST10462,61,60738,70,31,21
CUST10463,22,45150,18,46,18
CUST10464,56,83731,83,36,36
CUST10465,21,69688,22,11,35
CUST10466,23,119929,37,52,9
CUST10467,62,93509,96,15,38
CUST10468,49,28577,56,19,30
CUST10469,69,28070,59,7,34
CUST10470,47,28666,3,51,32
CUST10471,64,77761,28,28,3
CUST10472,52,56368,74,51,3
CUST10473,57,26783,35,43,28
CUST10474,69,61914,61,58,15
CUST10475,33,90507,93,5,23
CUST10476,30,99026,54,5,11
CUST10477,67,87526,63,30,32
CUST10478,59,90835,79,54,36
CUST10479,47,65765,97,32,33
CUST10480,36,39956,7,8,24
CUST10481,34,107895,76,10,39
CUST10482,36,66240,49,38,34
CUST10483,45,57148,94,47,28
CUST10484,43,114270,85,32,37
CUST10485,54,24757,31,48,7
CUST10486,43,39097,58,28,4
CUST10487,40,30395,61,17,37
CUST10488,26,36241,24,31,1
CUST10489,29,47696,20,8,1
CUST10490,18,90480,37,40,20
CUST10491,18,66163,4,25,19
CUST10492,64,39816,92,9,29
CUST10493,51,69840,20,2,10
CUST10494,49,72853,60,15,18
CUST10495,65,44917,24,50,28
CUST10496,42,116731,50,3,35
CUST10497,57,41566,49,49,31
CUST10498,62,95452,51,36,27
CUST10499,18,82823,96,4,11
CUST10500,33,40806,36,14,38
CUST10501,56,95520,98,41,5
CUST10502,22,21759,66,41,8
CUST10503,39,61949,79,25,34
CUST10504,46,112374,34,58,12
CUST10505,20,22482,36,55,38
CUST10506,29,44442,6,50,1
CUST10507,43,53719,39,10,31
CUST10508,33,78066,42,21,4
CUST10509,68,113501,58,36,5
CUST10510,54,22079,12,12,30
CUST10511,39,22717,3,27,24
CUST10512,46,79676,18,40,3
CUST10513,31,47952,40,2,11
CUST10514,45,106444,21,54,4
CUST10515,22,62460,15,13,26
CUST10516,64,110397,97,53,27
CUST10517,66,92847,99,32,27
CUST10518,47,113607,26,31,6
CUST10519,63,109106,8,16,15
CUST10520,69,38449,94,32,30
CUST10521,22,53536,87,32,37
CUST10522,29,84077,42,34,37
CUST10523,33,58258,44,11,37
CUST10524,43,68302,14,10,35
