CustomerID,Age,Salary,Weekly_Visits,Avg_Bill,LoyaltyScore
10001,56,63088,5,407,27
10002,69,59811,3,867,8
10003,46,75479,6,282,83
10004,32,105392,3,728,65
10005,60,107369,6,893,57
10006,25,39963,2,609,93
10007,38,75123,1,807,99
10008,56,112705,2,645,40
10009,36,93477,4,663,14
10010,40,34388,4,723,35
10011,28,25569,6,863,48
10012,28,89836,5,693,84
10013,41,56586,5,843,56
10014,53,32015,6,326,49
10015,57,65002,4,844,13
10016,41,26254,4,832,61
10017,20,37144,4,535,49
10018,39,44214,2,521,46
10019,19,100719,4,653,62
10020,41,91774,3,120,8
10021,61,26090,1,653,43
10022,47,31637,4,496,20
10023,55,42415,6,724,97
10024,19,44071,1,204,90
10025,38,78243,2,291,39
10026,50,61240,6,116,85
10027,29,103807,1,219,49
10028,39,53434,6,492,64
10029,61,89724,2,524,62
10030,42,95697,3,228,54
10031,66,48732,2,229,9
10032,44,31314,2,671,88
10033,59,43954,6,659,37
10034,45,77108,5,128,49
10035,33,107044,4,196,41
10036,32,107505,4,109,17
10037,64,56668,3,341,88
10038,68,43061,3,925,21
10039,61,99252,4,331,51
10040,69,59749,5,888,59
10041,20,36907,4,383,39
10042,54,38777,5,814,55
10043,68,113229,3,858,41
10044,24,71745,1,901,39
10045,38,111865,6,875,13
10046,26,101818,3,825,64
10047,56,43624,3,299,11
10048,35,43321,2,178,19
10049,21,30488,2,954,11
10050,42,42574,2,955,77
10051,31,25240,6,272,46
10052,67,63221,2,566,45
10053,26,30478,5,680,1
10054,43,75645,4,515,40
10055,19,39262,1,548,19
10056,37,72796,3,186,76
10057,45,24432,5,200,72
10058,64,115257,1,107,72
10059,24,84291,5,944,61
10060,61,99104,5,299,12
10061,25,79399,3,604,61
10062,64,99714,4,186,33
10063,52,70428,2,142,45
10064,31,107731,6,484,90
10065,34,20302,4,720,92
10066,53,102558,6,534,69
10067,67,20055,3,507,8
10068,57,28717,3,582,25
10069,21,48699,3,763,91
10070,19,93686,1,116,46
10071,23,87661,6,744,87
10072,59,64247,4,247,30
10073,21,36748,4,376,47
10074,46,24621,5,331,87
10075,35,35034,5,925,49
10076,43,25126,5,465,47
10077,61,25122,3,327,84
10078,51,38030,4,750,82
10079,27,102838,6,535,18
10080,53,104717,3,498,66
10081,31,75658,1,310,68
10082,48,58638,5,490,94
10083,65,87067,3,598,33
10084,32,108869,3,639,36
10085,25,54674,1,662,82
10086,31,55854,2,590,19
10087,40,66271,4,541,28
10088,57,93688,6,360,40
10089,38,58518,2,872,84
10090,33,30267,5,449,97
10091,62,110825,3,451,76
10092,35,21062,1,619,15
10093,64,70448,1,419,41
10094,41,115462,4,237,39
10095,43,26229,2,649,2
10096,42,76793,4,722,63
10097,62,67915,3,467,29
10098,58,24632,4,319,74
10099,46,23596,6,436,66
10100,32,26168,1,322,51
10101,62,27561,1,747,75
10102,18,93794,5,867,77
10103,42,102152,5,459,10
10104,24,46734,3,428,14
10105,26,26371,6,562,82
10106,41,46069,2,660,51
10107,18,99905,4,903,73
10108,61,32910,3,481,39
10109,25,93479,5,935,28
10110,41,97735,4,689,3
10111,28,101264,5,716,84
10112,68,43275,4,268,70
10113,34,92274,2,316,27
10114,25,101449,3,477,2
10115,52,80004,4,218,93
10116,52,82981,6,289,38
10117,50,104659,1,866,3
10118,22,74553,6,469,16
10119,59,68447,6,877,94
10120,56,54529,1,248,40
10121,58,95703,6,775,2
10122,45,96090,4,751,81
10123,24,37260,4,958,41
10124,26,23812,4,587,12
10125,25,48024,1,869,35
10126,29,78656,6,473,65
10127,51,47285,1,880,55
10128,50,112436,4,792,45
10129,65,21605,6,259,79
10130,40,91158,6,450,90
10131,41,92303,5,387,85
10132,54,47139,5,387,62
10133,52,97149,2,991,49
10134,61,76138,3,325,95
10135,57,96125,5,622,25
10136,39,33918,1,621,23
10137,44,105655,5,882,24
10138,52,47446,2,372,38
10139,18,33046,6,501,28
10140,52,44818,2,282,21
10141,54,24324,6,764,54
10142,64,96323,6,587,18
10143,31,29111,3,926,36
10144,20,58110,5,945,99
10145,18,36389,1,223,45
10146,22,61427,1,725,73
10147,43,99579,4,889,53
10148,31,48746,6,513,30
10149,56,107886,1,824,60
10150,44,20117,3,271,98
10151,26,104471,6,387,32
10152,32,33234,3,534,67
10153,32,73441,1,785,67
10154,43,20846,1,212,28
10155,59,30954,4,987,44
10156,30,99239,1,221,79
10157,68,66514,6,643,41
10158,49,108236,6,321,63
10159,56,117579,6,730,23
10160,66,26469,4,138,75
10161,69,50105,4,596,48
10162,49,62101,1,879,32
10163,21,84323,2,332,57
10164,47,111922,2,629,33
10165,54,78067,4,248,24
10166,40,69376,1,496,39
10167,56,65587,2,760,34
10168,62,56976,1,737,56
10169,32,87584,1,401,28
10170,60,98477,1,459,37
10171,46,62533,5,337,7
10172,53,21828,6,746,68
10173,30,21917,1,762,37
10174,49,40618,5,335,56
10175,24,52254,4,835,65
10176,68,67362,2,302,65
10177,39,40128,6,355,47
10178,45,79383,2,697,20
10179,19,85545,6,761,19
10180,59,102180,2,334,29
10181,62,107958,6,444,74
10182,23,29865,2,633,60
10183,45,22219,2,959,18
10184,45,59809,2,896,92
10185,61,25287,2,880,35
10186,61,54387,4,565,43
10187,37,28512,1,869,95
10188,47,21342,3,640,91
10189,28,83076,5,312,11
10190,45,39216,3,562,49
10191,42,113070,3,535,38
10192,56,99767,6,382,64
10193,50,117829,1,661,69
10194,18,46614,6,706,8
10195,44,56258,1,562,34
10196,69,113789,1,506,48
10197,30,62078,2,187,56
10198,58,103524,4,143,76
10199,20,116573,2,560,65
10200,56,32219,4,377,31
10201,23,20235,6,782,4
10202,25,62929,4,520,50
10203,44,87444,6,800,69
10204,26,28567,3,452,30
10205,54,90792,3,795,88
10206,50,85441,4,614,59
10207,68,104555,4,802,67
10208,59,93698,6,729,75
10209,61,25415,2,118,45
10210,41,56159,6,122,4
10211,32,63925,2,512,26
10212,49,25951,3,129,27
10213,49,107388,1,906,46
10214,41,28007,4,207,64
10215,58,61832,2,466,91
10216,69,78596,6,380,51
10217,66,50523,3,227,50
10218,66,108861,2,328,6
10219,69,106740,6,210,59
10220,29,35524,4,235,15
10221,56,39282,4,461,30
10222,19,43930,5,285,42
10223,20,20077,1,755,37
10224,66,40611,5,683,42
10225,54,36984,3,228,35
10226,66,34060,2,975,87
10227,34,102985,3,360,6
10228,66,104056,6,614,68
10229,19,63303,4,548,18
10230,19,79207,5,999,73
10231,45,95046,5,203,29
10232,40,49287,5,582,77
10233,54,113709,3,323,59
10234,49,59711,4,931,47
10235,50,31954,2,973,17
10236,18,93340,6,965,96
10237,36,92101,2,590,22
10238,19,91520,3,572,68
10239,61,107062,6,109,69
10240,43,38574,5,504,37
10241,49,29184,1,995,49
10242,23,39096,3,401,13
10243,49,87728,3,330,34
10244,21,54016,4,830,86
10245,28,31246,2,165,53
10246,34,65558,3,211,87
10247,55,38381,3,112,51
10248,41,56455,5,492,3
10249,22,112263,5,599,42
10250,69,24018,6,697,98
10251,51,31302,1,333,32
10252,23,87506,4,701,51
10253,39,61157,1,413,85
10254,28,74917,6,665,46
10255,65,112738,5,111,21
10256,33,116646,2,308,44
10257,50,103122,5,113,11
10258,26,44519,4,732,68
10259,23,116809,5,517,1
10260,33,107487,4,536,92
10261,46,76819,4,476,63
10262,20,100910,4,119,24
10263,37,91324,6,686,99
10264,53,25408,4,854,13
10265,36,79379,4,834,98
10266,43,45053,2,169,11
10267,20,29446,1,923,51
10268,36,20922,3,310,17
10269,37,118723,1,200,99
10270,49,71356,4,797,82
10271,24,30789,2,231,86
10272,69,117720,5,722,24
10273,58,86656,2,480,19
10274,50,64028,4,231,37
10275,57,84484,2,119,85
10276,56,52154,2,635,8
10277,35,102870,4,326,28
10278,57,22336,6,253,5
10279,18,87779,2,904,17
10280,28,39029,3,841,36
10281,45,79201,3,568,19
10282,42,52265,2,921,64
10283,67,63872,6,970,91
10284,40,66197,5,504,98
10285,48,75180,4,301,11
10286,47,43710,3,137,54
10287,59,49486,5,871,45
10288,52,91907,2,287,47
10289,24,91895,5,156,12
10290,33,84435,1,119,21
10291,43,60631,3,372,11
10292,65,40103,2,218,92
10293,69,84772,4,682,5
10294,66,34382,6,615,81
10295,19,104291,2,320,56
10296,18,23756,4,625,20
10297,65,40609,6,614,41
10298,29,36478,6,827,46
10299,22,59666,2,840,12
10300,54,95683,5,435,70
10301,49,119097,5,797,17
10302,26,91315,6,154,19
10303,58,97834,5,599,26
10304,52,34153,1,999,48
10305,36,96325,6,987,52
10306,65,32999,6,865,96
10307,33,75318,4,635,70
10308,20,20814,5,261,55
10309,37,96077,6,769,75
10310,41,110474,1,693,33
10311,50,22443,4,258,62
10312,41,95993,2,287,88
10313,69,95916,6,159,23
10314,28,93319,1,916,15
10315,66,37368,3,418,27
10316,25,35328,1,977,75
10317,53,76942,1,310,64
10318,55,111751,4,505,81
10319,57,119131,2,763,51
10320,37,47306,3,208,53
10321,52,105451,5,175,78
10322,65,59915,5,641,91
10323,42,57219,1,413,82
10324,52,100879,4,216,92
10325,42,84644,4,967,51
10326,46,80279,5,803,47
10327,35,73028,3,118,4
10328,63,20126,2,531,7
10329,35,72329,3,784,35
10330,19,47632,6,839,48
10331,52,85310,6,449,73
10332,33,75176,2,282,72
10333,58,106066,5,212,45
10334,53,64327,2,282,81
10335,50,88904,4,580,81
10336,21,23797,6,245,97
10337,50,67882,1,930,96
10338,31,33718,1,727,72
10339,38,54560,5,212,19
10340,65,96589,4,862,63
10341,37,42116,3,575,38
10342,25,56244,4,862,67
10343,24,21645,1,402,59
10344,20,67523,1,924,69
10345,34,39256,6,217,13
10346,50,73173,4,912,47
10347,65,57430,4,260,61
10348,29,59282,1,500,31
10349,68,83374,3,297,80
10350,39,88244,5,359,96
10351,39,31694,5,759,22
10352,63,76264,4,851,93
10353,47,95060,5,146,86
10354,55,117416,1,498,43
10355,55,77545,1,809,67
10356,62,59224,4,658,54
10357,68,117945,4,177,10
10358,25,33224,6,223,42
10359,44,60738,4,174,64
10360,44,45150,3,970,21
10361,51,83731,5,236,80
10362,38,69688,4,701,76
10363,47,119929,2,499,66
10364,50,93509,6,936,41
10365,45,28577,2,604,24
10366,64,28070,1,599,35
10367,50,28666,5,672,56
10368,22,77761,4,237,30
10369,65,56368,2,149,57
10370,36,26783,5,870,94
10371,21,61914,1,718,47
10372,52,90507,3,724,35
10373,66,99026,6,961,19
10374,34,87526,5,353,8
10375,61,90835,5,729,26
10376,45,65765,3,809,71
10377,47,39956,5,948,30
10378,46,107895,1,976,7
10379,63,66240,1,662,67
10380,23,57148,3,856,65
10381,52,114270,6,525,36
10382,58,24757,4,646,25
10383,54,39097,2,401,37
10384,41,30395,4,680,1
10385,46,36241,5,448,15
10386,66,47696,2,931,37
10387,63,90480,3,148,13
10388,48,66163,3,173,8
10389,52,39816,6,803,5
10390,50,69840,2,360,60
10391,69,72853,1,455,73
10392,38,44917,2,681,1
10393,49,116731,5,701,36
10394,40,41566,1,359,35
10395,50,95452,3,737,66
10396,20,82823,2,842,63
10397,35,40806,4,394,23
10398,42,95520,6,740,9
10399,59,21759,4,891,34
10400,48,61949,6,412,46
10401,20,112374,5,711,78
10402,57,22482,4,937,4
10403,63,44442,2,908,30
10404,41,53719,2,281,95
10405,67,78066,4,785,75
10406,49,113501,2,927,99
10407,64,22079,5,463,72
10408,39,22717,1,287,3
10409,40,79676,5,668,14
10410,19,47952,6,642,60
10411,44,106444,5,695,77
10412,59,62460,6,763,45
10413,19,110397,2,647,96
10414,43,92847,1,824,34
10415,34,113607,2,507,45
10416,57,109106,3,975,61
10417,50,38449,2,717,83
10418,26,53536,6,513,16
10419,60,84077,2,441,66
10420,65,58258,2,319,40
10421,56,68302,1,262,17
10422,46,48865,2,319,34
10423,59,26645,1,369,16
10424,43,58000,4,731,60
10425,52,46737,3,947,66
10426,67,31485,1,499,66
10427,42,58565,6,281,90
10428,41,45522,4,717,13
10429,30,85155,1,828,56
10430,24,75168,1,304,31
10431,53,72487,3,681,34
10432,62,32342,6,655,39
10433,37,60806,5,940,67
10434,18,68770,5,912,8
10435,25,98623,1,327,87
10436,63,119785,2,795,78
10437,33,95629,6,718,55
10438,31,72603,4,695,27
10439,29,101974,2,949,93
10440,68,46399,2,349,53
10441,40,105382,6,974,39
10442,32,101244,1,540,65
10443,45,96534,1,632,17
10444,51,75106,1,295,30
10445,19,50678,1,789,53
10446,49,96218,5,618,13
10447,40,83230,1,169,21
10448,39,94055,5,738,19
10449,68,76373,5,498,53
10450,42,51480,1,771,19
10451,39,105230,3,859,57
10452,39,88836,4,302,25
10453,66,92258,2,247,86
10454,69,59986,5,571,31
10455,59,44160,6,754,81
10456,23,105595,6,298,55
10457,32,99111,4,525,23
10458,60,84929,6,765,32
10459,54,93506,3,591,62
10460,50,54911,6,987,74
10461,25,107127,2,995,10
10462,61,51821,2,241,72
10463,61,95039,5,412,54
10464,22,80535,1,264,52
10465,56,104458,3,413,20
10466,21,32175,5,120,32
10467,23,74771,3,181,14
10468,62,106925,1,680,50
10469,49,86358,6,230,28
10470,69,37327,6,698,53
10471,47,67057,1,829,24
10472,64,26150,5,404,79
10473,52,24425,1,470,22
10474,57,36032,4,956,30
10475,69,22198,2,952,63
10476,33,80500,5,483,4
10477,30,73394,3,544,77
10478,67,40079,4,524,59
10479,59,56220,5,260,87
10480,47,61874,1,277,8
10481,36,33859,1,728,82
10482,34,70460,1,807,12
10483,36,51419,1,994,31
10484,45,28705,3,589,78
10485,43,62880,4,426,34
10486,54,43236,6,697,82
10487,43,107955,2,388,98
10488,40,105514,3,692,75
10489,26,35358,3,763,76
10490,29,119713,6,672,49
10491,18,114914,6,672,79
10492,18,96918,2,453,57
10493,64,34596,2,127,95
10494,51,53572,6,142,93
10495,49,98757,1,780,26
10496,65,21279,3,522,18
10497,42,83197,5,697,96
10498,57,82516,2,276,86
10499,62,27083,2,628,38
10500,18,37771,6,709,81
10501,33,49975,4,593,87
10502,56,65648,5,297,88
10503,22,68285,5,709,50
10504,39,39063,2,676,8
10505,46,87642,1,941,41
10506,20,110093,4,952,6
10507,29,106143,5,616,69
10508,43,57599,2,613,44
10509,33,71920,5,121,64
10510,68,48529,4,211,29
10511,54,55954,4,156,28
10512,39,47856,3,165,11
10513,46,22573,6,941,65
10514,31,98344,6,197,19
10515,45,55367,2,243,9
10516,22,119608,4,979,27
10517,64,80774,3,534,34
10518,66,43752,3,736,44
10519,47,75029,5,778,68
10520,63,37685,5,185,82
10521,69,71693,3,687,15
10522,22,75961,5,443,51
10523,29,96908,4,393,13
10524,33,94532,1,670,83
10525,43,101994,4,749,49
10526,43,76133,3,710,70
10527,65,117425,3,803,56
10528,38,81268,4,342,76
10529,56,112201,5,930,51
10530,53,58243,5,660,37
10531,50,77384,6,131,17
10532,47,51653,3,490,58
10533,54,46657,2,376,87
10534,40,59952,6,631,90
10535,27,42180,5,253,29
10536,22,117432,4,482,33
10537,53,98411,5,167,60
10538,51,21622,4,977,91
10539,69,68756,6,983,89
10540,48,60809,3,313,55
10541,27,36725,5,754,10
10542,36,81396,4,475,47
10543,49,71226,3,843,23
10544,18,101182,2,312,85
10545,22,102565,4,178,21
10546,62,49402,6,825,13
10547,21,24263,2,727,33
10548,33,116523,2,703,24
10549,41,66828,1,881,11
10550,33,67924,5,480,17
10551,19,94182,4,779,68
10552,66,113065,2,157,47
10553,45,79052,1,895,25
10554,49,31664,6,125,94
10555,44,55737,3,980,73
10556,37,109563,4,546,21
10557,41,49373,2,165,84
10558,29,56397,5,859,83
10559,67,106145,1,353,83
10560,52,58709,2,998,12
10561,50,81120,5,143,37
10562,50,39250,2,196,42
10563,68,41172,4,653,17
10564,60,31555,4,326,48
10565,54,107410,4,873,28
